premise,conclusion,item,category,blankpredicate,predicate_id,argument_id
Vultures can be wiffed.,All birds can be wiffed.,vulture,bird,can be,2,2
Vultures can be blicked.,All birds can be blicked.,vulture,bird,can be,2,3
Vultures can be gyred.,All birds can be gyred.,vulture,bird,can be,2,4
Vultures can be gimbled.,All birds can be gimbled.,vulture,bird,can be,2,5
Vultures are beamish.,All birds are beamish.,vulture,bird,are,3,1
Vultures are slithy.,All birds are slithy.,vulture,bird,are,3,2
Vultures are mimsy.,All birds are mimsy.,vulture,bird,are,3,3
Vultures are vorpal.,All birds are vorpal.,vulture,bird,are,3,4
Vultures are frabjous.,All birds are frabjous.,vulture,bird,are,3,5
Vultures use a wug.,All birds use a wug.,vulture,bird,use a,4,1
Vultures use a fep.,All birds use a fep.,vulture,bird,use a,4,2
Vultures use a blicket.,All birds use a blicket.,vulture,bird,use a,4,3
Vultures use a jabberwock.,All birds use a jabberwock.,vulture,bird,use a,4,4
Vultures use a tove.,All birds use a tove.,vulture,bird,use a,4,5
Vultures love wugs.,All birds love wugs.,vulture,bird,love,5,1
Vultures love feps.,All birds love feps.,vulture,bird,love,5,2
Vultures love blickets.,All birds love blickets.,vulture,bird,love,5,3
Vultures love jabberwocks.,All birds love jabberwocks.,vulture,bird,love,5,4
Vultures love toves.,All birds love toves.,vulture,bird,love,5,5
Vultures have wugs.,All birds have wugs.,vulture,bird,have,6,1
Vultures have feps.,All birds have feps.,vulture,bird,have,6,2
Vultures have blickets.,All birds have blickets.,vulture,bird,have,6,3
Vultures have jabberwocks.,All birds have jabberwocks.,vulture,bird,have,6,4
Vultures have toves.,All birds have toves.,vulture,bird,have,6,5
Storks can dax.,All birds can dax.,stork,bird,can,1,1
Storks can wif.,All birds can wif.,stork,bird,can,1,2
Storks can blick.,All birds can blick.,stork,bird,can,1,3
Storks can gyre.,All birds can gyre.,stork,bird,can,1,4
Storks can gimble.,All birds can gimble.,stork,bird,can,1,5
Storks can be daxed.,All birds can be daxed.,stork,bird,can be,2,1
Storks can be wiffed.,All birds can be wiffed.,stork,bird,can be,2,2
Storks can be blicked.,All birds can be blicked.,stork,bird,can be,2,3
Storks can be gyred.,All birds can be gyred.,stork,bird,can be,2,4
Storks can be gimbled.,All birds can be gimbled.,stork,bird,can be,2,5
Storks are beamish.,All birds are beamish.,stork,bird,are,3,1
Storks are slithy.,All birds are slithy.,stork,bird,are,3,2
Storks are mimsy.,All birds are mimsy.,stork,bird,are,3,3
Storks are vorpal.,All birds are vorpal.,stork,bird,are,3,4
Storks are frabjous.,All birds are frabjous.,stork,bird,are,3,5
Storks use a wug.,All birds use a wug.,stork,bird,use a,4,1
Storks use a fep.,All birds use a fep.,stork,bird,use a,4,2
Storks use a blicket.,All birds use a blicket.,stork,bird,use a,4,3
Storks use a jabberwock.,All birds use a jabberwock.,stork,bird,use a,4,4
Storks use a tove.,All birds use a tove.,stork,bird,use a,4,5
Storks love wugs.,All birds love wugs.,stork,bird,love,5,1
Storks love feps.,All birds love feps.,stork,bird,love,5,2
Storks love blickets.,All birds love blickets.,stork,bird,love,5,3
Storks love jabberwocks.,All birds love jabberwocks.,stork,bird,love,5,4
Storks love toves.,All birds love toves.,stork,bird,love,5,5
Storks have wugs.,All birds have wugs.,stork,bird,have,6,1
Storks have feps.,All birds have feps.,stork,bird,have,6,2
Storks have blickets.,All birds have blickets.,stork,bird,have,6,3
Storks have jabberwocks.,All birds have jabberwocks.,stork,bird,have,6,4
Storks have toves.,All birds have toves.,stork,bird,have,6,5
Buzzards can dax.,All birds can dax.,buzzard,bird,can,1,1
Buzzards can wif.,All birds can wif.,buzzard,bird,can,1,2
Buzzards can blick.,All birds can blick.,buzzard,bird,can,1,3
Buzzards can gyre.,All birds can gyre.,buzzard,bird,can,1,4
Buzzards can gimble.,All birds can gimble.,buzzard,bird,can,1,5
Buzzards can be daxed.,All birds can be daxed.,buzzard,bird,can be,2,1
Buzzards can be wiffed.,All birds can be wiffed.,buzzard,bird,can be,2,2
Buzzards can be blicked.,All birds can be blicked.,buzzard,bird,can be,2,3
Buzzards can be gyred.,All birds can be gyred.,buzzard,bird,can be,2,4
Buzzards can be gimbled.,All birds can be gimbled.,buzzard,bird,can be,2,5
Buzzards are beamish.,All birds are beamish.,buzzard,bird,are,3,1
Buzzards are slithy.,All birds are slithy.,buzzard,bird,are,3,2
Buzzards are mimsy.,All birds are mimsy.,buzzard,bird,are,3,3
Buzzards are vorpal.,All birds are vorpal.,buzzard,bird,are,3,4
Buzzards are frabjous.,All birds are frabjous.,buzzard,bird,are,3,5
Buzzards use a wug.,All birds use a wug.,buzzard,bird,use a,4,1
Buzzards use a fep.,All birds use a fep.,buzzard,bird,use a,4,2
Buzzards use a blicket.,All birds use a blicket.,buzzard,bird,use a,4,3
Buzzards use a jabberwock.,All birds use a jabberwock.,buzzard,bird,use a,4,4
Buzzards use a tove.,All birds use a tove.,buzzard,bird,use a,4,5
Buzzards love wugs.,All birds love wugs.,buzzard,bird,love,5,1
Buzzards love feps.,All birds love feps.,buzzard,bird,love,5,2
Buzzards love blickets.,All birds love blickets.,buzzard,bird,love,5,3
Buzzards love jabberwocks.,All birds love jabberwocks.,buzzard,bird,love,5,4
Buzzards love toves.,All birds love toves.,buzzard,bird,love,5,5
Buzzards have wugs.,All birds have wugs.,buzzard,bird,have,6,1
Buzzards have feps.,All birds have feps.,buzzard,bird,have,6,2
Buzzards have blickets.,All birds have blickets.,buzzard,bird,have,6,3
Buzzards have jabberwocks.,All birds have jabberwocks.,buzzard,bird,have,6,4
Buzzards have toves.,All birds have toves.,buzzard,bird,have,6,5
Swans can dax.,All birds can dax.,swan,bird,can,1,1
Swans can wif.,All birds can wif.,swan,bird,can,1,2
Swans can blick.,All birds can blick.,swan,bird,can,1,3
Swans can gyre.,All birds can gyre.,swan,bird,can,1,4
Swans can gimble.,All birds can gimble.,swan,bird,can,1,5
Swans can be daxed.,All birds can be daxed.,swan,bird,can be,2,1
Swans can be wiffed.,All birds can be wiffed.,swan,bird,can be,2,2
Swans can be blicked.,All birds can be blicked.,swan,bird,can be,2,3
Swans can be gyred.,All birds can be gyred.,swan,bird,can be,2,4
Swans can be gimbled.,All birds can be gimbled.,swan,bird,can be,2,5
Swans are beamish.,All birds are beamish.,swan,bird,are,3,1
Swans are slithy.,All birds are slithy.,swan,bird,are,3,2
Swans are mimsy.,All birds are mimsy.,swan,bird,are,3,3
Swans are vorpal.,All birds are vorpal.,swan,bird,are,3,4
Swans are frabjous.,All birds are frabjous.,swan,bird,are,3,5
Swans use a wug.,All birds use a wug.,swan,bird,use a,4,1
Swans use a fep.,All birds use a fep.,swan,bird,use a,4,2
Swans use a blicket.,All birds use a blicket.,swan,bird,use a,4,3
Swans use a jabberwock.,All birds use a jabberwock.,swan,bird,use a,4,4
Swans use a tove.,All birds use a tove.,swan,bird,use a,4,5
Swans love wugs.,All birds love wugs.,swan,bird,love,5,1
Swans love feps.,All birds love feps.,swan,bird,love,5,2
Swans love blickets.,All birds love blickets.,swan,bird,love,5,3
Swans love jabberwocks.,All birds love jabberwocks.,swan,bird,love,5,4
Swans love toves.,All birds love toves.,swan,bird,love,5,5
Swans have wugs.,All birds have wugs.,swan,bird,have,6,1
Swans have feps.,All birds have feps.,swan,bird,have,6,2
Swans have blickets.,All birds have blickets.,swan,bird,have,6,3
Swans have jabberwocks.,All birds have jabberwocks.,swan,bird,have,6,4
Swans have toves.,All birds have toves.,swan,bird,have,6,5
Flamingoes can dax.,All birds can dax.,flamingo,bird,can,1,1
Flamingoes can wif.,All birds can wif.,flamingo,bird,can,1,2
Flamingoes can blick.,All birds can blick.,flamingo,bird,can,1,3
Flamingoes can gyre.,All birds can gyre.,flamingo,bird,can,1,4
Flamingoes can gimble.,All birds can gimble.,flamingo,bird,can,1,5
Flamingoes can be daxed.,All birds can be daxed.,flamingo,bird,can be,2,1
Flamingoes can be wiffed.,All birds can be wiffed.,flamingo,bird,can be,2,2
Flamingoes can be blicked.,All birds can be blicked.,flamingo,bird,can be,2,3
Flamingoes can be gyred.,All birds can be gyred.,flamingo,bird,can be,2,4
Flamingoes can be gimbled.,All birds can be gimbled.,flamingo,bird,can be,2,5
Flamingoes are beamish.,All birds are beamish.,flamingo,bird,are,3,1
Flamingoes are slithy.,All birds are slithy.,flamingo,bird,are,3,2
Flamingoes are mimsy.,All birds are mimsy.,flamingo,bird,are,3,3
Flamingoes are vorpal.,All birds are vorpal.,flamingo,bird,are,3,4
Flamingoes are frabjous.,All birds are frabjous.,flamingo,bird,are,3,5
Flamingoes use a wug.,All birds use a wug.,flamingo,bird,use a,4,1
Flamingoes use a fep.,All birds use a fep.,flamingo,bird,use a,4,2
Flamingoes use a blicket.,All birds use a blicket.,flamingo,bird,use a,4,3
Flamingoes use a jabberwock.,All birds use a jabberwock.,flamingo,bird,use a,4,4
Flamingoes use a tove.,All birds use a tove.,flamingo,bird,use a,4,5
Flamingoes love wugs.,All birds love wugs.,flamingo,bird,love,5,1
Flamingoes love feps.,All birds love feps.,flamingo,bird,love,5,2
Flamingoes love blickets.,All birds love blickets.,flamingo,bird,love,5,3
Flamingoes love jabberwocks.,All birds love jabberwocks.,flamingo,bird,love,5,4
Flamingoes love toves.,All birds love toves.,flamingo,bird,love,5,5
Flamingoes have wugs.,All birds have wugs.,flamingo,bird,have,6,1
Flamingoes have feps.,All birds have feps.,flamingo,bird,have,6,2
Flamingoes have blickets.,All birds have blickets.,flamingo,bird,have,6,3
Flamingoes have jabberwocks.,All birds have jabberwocks.,flamingo,bird,have,6,4
Flamingoes have toves.,All birds have toves.,flamingo,bird,have,6,5
Ducks can dax.,All birds can dax.,duck,bird,can,1,1
Ducks can wif.,All birds can wif.,duck,bird,can,1,2
Ducks can blick.,All birds can blick.,duck,bird,can,1,3
Ducks can gyre.,All birds can gyre.,duck,bird,can,1,4
Ducks can gimble.,All birds can gimble.,duck,bird,can,1,5
Ducks can be daxed.,All birds can be daxed.,duck,bird,can be,2,1
Ducks can be wiffed.,All birds can be wiffed.,duck,bird,can be,2,2
Ducks can be blicked.,All birds can be blicked.,duck,bird,can be,2,3
Ducks can be gyred.,All birds can be gyred.,duck,bird,can be,2,4
Ducks can be gimbled.,All birds can be gimbled.,duck,bird,can be,2,5
Ducks are beamish.,All birds are beamish.,duck,bird,are,3,1
Ducks are slithy.,All birds are slithy.,duck,bird,are,3,2
Ducks are mimsy.,All birds are mimsy.,duck,bird,are,3,3
Ducks are vorpal.,All birds are vorpal.,duck,bird,are,3,4
Ducks are frabjous.,All birds are frabjous.,duck,bird,are,3,5
Ducks use a wug.,All birds use a wug.,duck,bird,use a,4,1
Ducks use a fep.,All birds use a fep.,duck,bird,use a,4,2
Ducks use a blicket.,All birds use a blicket.,duck,bird,use a,4,3
Ducks use a jabberwock.,All birds use a jabberwock.,duck,bird,use a,4,4
Ducks use a tove.,All birds use a tove.,duck,bird,use a,4,5
Ducks love wugs.,All birds love wugs.,duck,bird,love,5,1
Ducks love feps.,All birds love feps.,duck,bird,love,5,2
Ducks love blickets.,All birds love blickets.,duck,bird,love,5,3
Ducks love jabberwocks.,All birds love jabberwocks.,duck,bird,love,5,4
Ducks love toves.,All birds love toves.,duck,bird,love,5,5
Ducks have wugs.,All birds have wugs.,duck,bird,have,6,1
Ducks have feps.,All birds have feps.,duck,bird,have,6,2
Ducks have blickets.,All birds have blickets.,duck,bird,have,6,3
Ducks have jabberwocks.,All birds have jabberwocks.,duck,bird,have,6,4
Ducks have toves.,All birds have toves.,duck,bird,have,6,5
Peacocks can dax.,All birds can dax.,peacock,bird,can,1,1
Peacocks can wif.,All birds can wif.,peacock,bird,can,1,2
Peacocks can blick.,All birds can blick.,peacock,bird,can,1,3
Peacocks can gyre.,All birds can gyre.,peacock,bird,can,1,4
Peacocks can gimble.,All birds can gimble.,peacock,bird,can,1,5
Peacocks can be daxed.,All birds can be daxed.,peacock,bird,can be,2,1
Peacocks can be wiffed.,All birds can be wiffed.,peacock,bird,can be,2,2
Peacocks can be blicked.,All birds can be blicked.,peacock,bird,can be,2,3
Peacocks can be gyred.,All birds can be gyred.,peacock,bird,can be,2,4
Peacocks can be gimbled.,All birds can be gimbled.,peacock,bird,can be,2,5
Peacocks are beamish.,All birds are beamish.,peacock,bird,are,3,1
Peacocks are slithy.,All birds are slithy.,peacock,bird,are,3,2
Peacocks are mimsy.,All birds are mimsy.,peacock,bird,are,3,3
Peacocks are vorpal.,All birds are vorpal.,peacock,bird,are,3,4
Peacocks are frabjous.,All birds are frabjous.,peacock,bird,are,3,5
Peacocks use a wug.,All birds use a wug.,peacock,bird,use a,4,1
Peacocks use a fep.,All birds use a fep.,peacock,bird,use a,4,2
Peacocks use a blicket.,All birds use a blicket.,peacock,bird,use a,4,3
Peacocks use a jabberwock.,All birds use a jabberwock.,peacock,bird,use a,4,4
Peacocks use a tove.,All birds use a tove.,peacock,bird,use a,4,5
Peacocks love wugs.,All birds love wugs.,peacock,bird,love,5,1
Peacocks love feps.,All birds love feps.,peacock,bird,love,5,2
Peacocks love blickets.,All birds love blickets.,peacock,bird,love,5,3
Peacocks love jabberwocks.,All birds love jabberwocks.,peacock,bird,love,5,4
Peacocks love toves.,All birds love toves.,peacock,bird,love,5,5
Peacocks have wugs.,All birds have wugs.,peacock,bird,have,6,1
Peacocks have feps.,All birds have feps.,peacock,bird,have,6,2
Peacocks have blickets.,All birds have blickets.,peacock,bird,have,6,3
Peacocks have jabberwocks.,All birds have jabberwocks.,peacock,bird,have,6,4
Peacocks have toves.,All birds have toves.,peacock,bird,have,6,5
Egrets can dax.,All birds can dax.,egret,bird,can,1,1
Egrets can wif.,All birds can wif.,egret,bird,can,1,2
Egrets can blick.,All birds can blick.,egret,bird,can,1,3
Egrets can gyre.,All birds can gyre.,egret,bird,can,1,4
Egrets can gimble.,All birds can gimble.,egret,bird,can,1,5
Egrets can be daxed.,All birds can be daxed.,egret,bird,can be,2,1
Egrets can be wiffed.,All birds can be wiffed.,egret,bird,can be,2,2
Egrets can be blicked.,All birds can be blicked.,egret,bird,can be,2,3
Egrets can be gyred.,All birds can be gyred.,egret,bird,can be,2,4
Egrets can be gimbled.,All birds can be gimbled.,egret,bird,can be,2,5
Egrets are beamish.,All birds are beamish.,egret,bird,are,3,1
Egrets are slithy.,All birds are slithy.,egret,bird,are,3,2
Egrets are mimsy.,All birds are mimsy.,egret,bird,are,3,3
Egrets are vorpal.,All birds are vorpal.,egret,bird,are,3,4
Egrets are frabjous.,All birds are frabjous.,egret,bird,are,3,5
Egrets use a wug.,All birds use a wug.,egret,bird,use a,4,1
Egrets use a fep.,All birds use a fep.,egret,bird,use a,4,2
Egrets use a blicket.,All birds use a blicket.,egret,bird,use a,4,3
Egrets use a jabberwock.,All birds use a jabberwock.,egret,bird,use a,4,4
Egrets use a tove.,All birds use a tove.,egret,bird,use a,4,5
Egrets love wugs.,All birds love wugs.,egret,bird,love,5,1
Egrets love feps.,All birds love feps.,egret,bird,love,5,2
Egrets love blickets.,All birds love blickets.,egret,bird,love,5,3
Egrets love jabberwocks.,All birds love jabberwocks.,egret,bird,love,5,4
Egrets love toves.,All birds love toves.,egret,bird,love,5,5
Egrets have wugs.,All birds have wugs.,egret,bird,have,6,1
Egrets have feps.,All birds have feps.,egret,bird,have,6,2
Egrets have blickets.,All birds have blickets.,egret,bird,have,6,3
Egrets have jabberwocks.,All birds have jabberwocks.,egret,bird,have,6,4
Egrets have toves.,All birds have toves.,egret,bird,have,6,5
Chickens can dax.,All birds can dax.,chicken,bird,can,1,1
Chickens can wif.,All birds can wif.,chicken,bird,can,1,2
Chickens can blick.,All birds can blick.,chicken,bird,can,1,3
Chickens can gyre.,All birds can gyre.,chicken,bird,can,1,4
Chickens can gimble.,All birds can gimble.,chicken,bird,can,1,5
Chickens can be daxed.,All birds can be daxed.,chicken,bird,can be,2,1
Chickens can be wiffed.,All birds can be wiffed.,chicken,bird,can be,2,2
Chickens can be blicked.,All birds can be blicked.,chicken,bird,can be,2,3
Chickens can be gyred.,All birds can be gyred.,chicken,bird,can be,2,4
Chickens can be gimbled.,All birds can be gimbled.,chicken,bird,can be,2,5
Chickens are beamish.,All birds are beamish.,chicken,bird,are,3,1
Chickens are slithy.,All birds are slithy.,chicken,bird,are,3,2
Chickens are mimsy.,All birds are mimsy.,chicken,bird,are,3,3
Chickens are vorpal.,All birds are vorpal.,chicken,bird,are,3,4
Chickens are frabjous.,All birds are frabjous.,chicken,bird,are,3,5
Chickens use a wug.,All birds use a wug.,chicken,bird,use a,4,1
Chickens use a fep.,All birds use a fep.,chicken,bird,use a,4,2
Chickens use a blicket.,All birds use a blicket.,chicken,bird,use a,4,3
Chickens use a jabberwock.,All birds use a jabberwock.,chicken,bird,use a,4,4
Chickens use a tove.,All birds use a tove.,chicken,bird,use a,4,5
Chickens love wugs.,All birds love wugs.,chicken,bird,love,5,1
Chickens love feps.,All birds love feps.,chicken,bird,love,5,2
Chickens love blickets.,All birds love blickets.,chicken,bird,love,5,3
Chickens love jabberwocks.,All birds love jabberwocks.,chicken,bird,love,5,4
Chickens love toves.,All birds love toves.,chicken,bird,love,5,5
Chickens have wugs.,All birds have wugs.,chicken,bird,have,6,1
Chickens have feps.,All birds have feps.,chicken,bird,have,6,2
Chickens have blickets.,All birds have blickets.,chicken,bird,have,6,3
Chickens have jabberwocks.,All birds have jabberwocks.,chicken,bird,have,6,4
Chickens have toves.,All birds have toves.,chicken,bird,have,6,5
Turkeys can dax.,All birds can dax.,turkey,bird,can,1,1
Turkeys can wif.,All birds can wif.,turkey,bird,can,1,2
Turkeys can blick.,All birds can blick.,turkey,bird,can,1,3
Turkeys can gyre.,All birds can gyre.,turkey,bird,can,1,4
Turkeys can gimble.,All birds can gimble.,turkey,bird,can,1,5
Turkeys can be daxed.,All birds can be daxed.,turkey,bird,can be,2,1
Turkeys can be wiffed.,All birds can be wiffed.,turkey,bird,can be,2,2
Turkeys can be blicked.,All birds can be blicked.,turkey,bird,can be,2,3
Turkeys can be gyred.,All birds can be gyred.,turkey,bird,can be,2,4
Turkeys can be gimbled.,All birds can be gimbled.,turkey,bird,can be,2,5
Turkeys are beamish.,All birds are beamish.,turkey,bird,are,3,1
Turkeys are slithy.,All birds are slithy.,turkey,bird,are,3,2
Turkeys are mimsy.,All birds are mimsy.,turkey,bird,are,3,3
Turkeys are vorpal.,All birds are vorpal.,turkey,bird,are,3,4
Turkeys are frabjous.,All birds are frabjous.,turkey,bird,are,3,5
Turkeys use a wug.,All birds use a wug.,turkey,bird,use a,4,1
Turkeys use a fep.,All birds use a fep.,turkey,bird,use a,4,2
Turkeys use a blicket.,All birds use a blicket.,turkey,bird,use a,4,3
Turkeys use a jabberwock.,All birds use a jabberwock.,turkey,bird,use a,4,4
Turkeys use a tove.,All birds use a tove.,turkey,bird,use a,4,5
Turkeys love wugs.,All birds love wugs.,turkey,bird,love,5,1
Turkeys love feps.,All birds love feps.,turkey,bird,love,5,2
Turkeys love blickets.,All birds love blickets.,turkey,bird,love,5,3
Turkeys love jabberwocks.,All birds love jabberwocks.,turkey,bird,love,5,4
Turkeys love toves.,All birds love toves.,turkey,bird,love,5,5
Turkeys have wugs.,All birds have wugs.,turkey,bird,have,6,1
Turkeys have feps.,All birds have feps.,turkey,bird,have,6,2
Turkeys have blickets.,All birds have blickets.,turkey,bird,have,6,3
Turkeys have jabberwocks.,All birds have jabberwocks.,turkey,bird,have,6,4
Turkeys have toves.,All birds have toves.,turkey,bird,have,6,5
Ostriches can dax.,All birds can dax.,ostrich,bird,can,1,1
Ostriches can wif.,All birds can wif.,ostrich,bird,can,1,2
Ostriches can blick.,All birds can blick.,ostrich,bird,can,1,3
Ostriches can gyre.,All birds can gyre.,ostrich,bird,can,1,4
Ostriches can gimble.,All birds can gimble.,ostrich,bird,can,1,5
Ostriches can be daxed.,All birds can be daxed.,ostrich,bird,can be,2,1
Ostriches can be wiffed.,All birds can be wiffed.,ostrich,bird,can be,2,2
Ostriches can be blicked.,All birds can be blicked.,ostrich,bird,can be,2,3
Ostriches can be gyred.,All birds can be gyred.,ostrich,bird,can be,2,4
Ostriches can be gimbled.,All birds can be gimbled.,ostrich,bird,can be,2,5
Ostriches are beamish.,All birds are beamish.,ostrich,bird,are,3,1
Ostriches are slithy.,All birds are slithy.,ostrich,bird,are,3,2
Ostriches are mimsy.,All birds are mimsy.,ostrich,bird,are,3,3
Ostriches are vorpal.,All birds are vorpal.,ostrich,bird,are,3,4
Ostriches are frabjous.,All birds are frabjous.,ostrich,bird,are,3,5
Ostriches use a wug.,All birds use a wug.,ostrich,bird,use a,4,1
Ostriches use a fep.,All birds use a fep.,ostrich,bird,use a,4,2
Ostriches use a blicket.,All birds use a blicket.,ostrich,bird,use a,4,3
Ostriches use a jabberwock.,All birds use a jabberwock.,ostrich,bird,use a,4,4
Ostriches use a tove.,All birds use a tove.,ostrich,bird,use a,4,5
Ostriches love wugs.,All birds love wugs.,ostrich,bird,love,5,1
Ostriches love feps.,All birds love feps.,ostrich,bird,love,5,2
Ostriches love blickets.,All birds love blickets.,ostrich,bird,love,5,3
Ostriches love jabberwocks.,All birds love jabberwocks.,ostrich,bird,love,5,4
Ostriches love toves.,All birds love toves.,ostrich,bird,love,5,5
Ostriches have wugs.,All birds have wugs.,ostrich,bird,have,6,1
Ostriches have feps.,All birds have feps.,ostrich,bird,have,6,2
Ostriches have blickets.,All birds have blickets.,ostrich,bird,have,6,3
Ostriches have jabberwocks.,All birds have jabberwocks.,ostrich,bird,have,6,4
Ostriches have toves.,All birds have toves.,ostrich,bird,have,6,5
Titmice can dax.,All birds can dax.,titmouse,bird,can,1,1
Titmice can wif.,All birds can wif.,titmouse,bird,can,1,2
Titmice can blick.,All birds can blick.,titmouse,bird,can,1,3
Titmice can gyre.,All birds can gyre.,titmouse,bird,can,1,4
Titmice can gimble.,All birds can gimble.,titmouse,bird,can,1,5
Titmice can be daxed.,All birds can be daxed.,titmouse,bird,can be,2,1
Titmice can be wiffed.,All birds can be wiffed.,titmouse,bird,can be,2,2
Titmice can be blicked.,All birds can be blicked.,titmouse,bird,can be,2,3
Titmice can be gyred.,All birds can be gyred.,titmouse,bird,can be,2,4
Titmice can be gimbled.,All birds can be gimbled.,titmouse,bird,can be,2,5
Titmice are beamish.,All birds are beamish.,titmouse,bird,are,3,1
Titmice are slithy.,All birds are slithy.,titmouse,bird,are,3,2
Titmice are mimsy.,All birds are mimsy.,titmouse,bird,are,3,3
Titmice are vorpal.,All birds are vorpal.,titmouse,bird,are,3,4
Titmice are frabjous.,All birds are frabjous.,titmouse,bird,are,3,5
Titmice use a wug.,All birds use a wug.,titmouse,bird,use a,4,1
Titmice use a fep.,All birds use a fep.,titmouse,bird,use a,4,2
Titmice use a blicket.,All birds use a blicket.,titmouse,bird,use a,4,3
Titmice use a jabberwock.,All birds use a jabberwock.,titmouse,bird,use a,4,4
Titmice use a tove.,All birds use a tove.,titmouse,bird,use a,4,5
Titmice love wugs.,All birds love wugs.,titmouse,bird,love,5,1
Titmice love feps.,All birds love feps.,titmouse,bird,love,5,2
Titmice love blickets.,All birds love blickets.,titmouse,bird,love,5,3
Titmice love jabberwocks.,All birds love jabberwocks.,titmouse,bird,love,5,4
Titmice love toves.,All birds love toves.,titmouse,bird,love,5,5
Titmice have wugs.,All birds have wugs.,titmouse,bird,have,6,1
Titmice have feps.,All birds have feps.,titmouse,bird,have,6,2
Titmice have blickets.,All birds have blickets.,titmouse,bird,have,6,3
Titmice have jabberwocks.,All birds have jabberwocks.,titmouse,bird,have,6,4
Titmice have toves.,All birds have toves.,titmouse,bird,have,6,5
Emus can dax.,All birds can dax.,emu,bird,can,1,1
Emus can wif.,All birds can wif.,emu,bird,can,1,2
Emus can blick.,All birds can blick.,emu,bird,can,1,3
Emus can gyre.,All birds can gyre.,emu,bird,can,1,4
Emus can gimble.,All birds can gimble.,emu,bird,can,1,5
Emus can be daxed.,All birds can be daxed.,emu,bird,can be,2,1
Emus can be wiffed.,All birds can be wiffed.,emu,bird,can be,2,2
Emus can be blicked.,All birds can be blicked.,emu,bird,can be,2,3
Emus can be gyred.,All birds can be gyred.,emu,bird,can be,2,4
Emus can be gimbled.,All birds can be gimbled.,emu,bird,can be,2,5
Emus are beamish.,All birds are beamish.,emu,bird,are,3,1
Emus are slithy.,All birds are slithy.,emu,bird,are,3,2
Emus are mimsy.,All birds are mimsy.,emu,bird,are,3,3
Emus are vorpal.,All birds are vorpal.,emu,bird,are,3,4
Emus are frabjous.,All birds are frabjous.,emu,bird,are,3,5
Emus use a wug.,All birds use a wug.,emu,bird,use a,4,1
Emus use a fep.,All birds use a fep.,emu,bird,use a,4,2
Emus use a blicket.,All birds use a blicket.,emu,bird,use a,4,3
Emus use a jabberwock.,All birds use a jabberwock.,emu,bird,use a,4,4
Emus use a tove.,All birds use a tove.,emu,bird,use a,4,5
Emus love wugs.,All birds love wugs.,emu,bird,love,5,1
Emus love feps.,All birds love feps.,emu,bird,love,5,2
Emus love blickets.,All birds love blickets.,emu,bird,love,5,3
Emus love jabberwocks.,All birds love jabberwocks.,emu,bird,love,5,4
Emus love toves.,All birds love toves.,emu,bird,love,5,5
Emus have wugs.,All birds have wugs.,emu,bird,have,6,1
Emus have feps.,All birds have feps.,emu,bird,have,6,2
Emus have blickets.,All birds have blickets.,emu,bird,have,6,3
Emus have jabberwocks.,All birds have jabberwocks.,emu,bird,have,6,4
Emus have toves.,All birds have toves.,emu,bird,have,6,5
Penguins can dax.,All birds can dax.,penguin,bird,can,1,1
Penguins can wif.,All birds can wif.,penguin,bird,can,1,2
Penguins can blick.,All birds can blick.,penguin,bird,can,1,3
Penguins can gyre.,All birds can gyre.,penguin,bird,can,1,4
Penguins can gimble.,All birds can gimble.,penguin,bird,can,1,5
Penguins can be daxed.,All birds can be daxed.,penguin,bird,can be,2,1
Penguins can be wiffed.,All birds can be wiffed.,penguin,bird,can be,2,2
Penguins can be blicked.,All birds can be blicked.,penguin,bird,can be,2,3
Penguins can be gyred.,All birds can be gyred.,penguin,bird,can be,2,4
Penguins can be gimbled.,All birds can be gimbled.,penguin,bird,can be,2,5
Penguins are beamish.,All birds are beamish.,penguin,bird,are,3,1
Penguins are slithy.,All birds are slithy.,penguin,bird,are,3,2
Penguins are mimsy.,All birds are mimsy.,penguin,bird,are,3,3
Penguins are vorpal.,All birds are vorpal.,penguin,bird,are,3,4
Penguins are frabjous.,All birds are frabjous.,penguin,bird,are,3,5
Penguins use a wug.,All birds use a wug.,penguin,bird,use a,4,1
Penguins use a fep.,All birds use a fep.,penguin,bird,use a,4,2
Penguins use a blicket.,All birds use a blicket.,penguin,bird,use a,4,3
Penguins use a jabberwock.,All birds use a jabberwock.,penguin,bird,use a,4,4
Penguins use a tove.,All birds use a tove.,penguin,bird,use a,4,5
Penguins love wugs.,All birds love wugs.,penguin,bird,love,5,1
Penguins love feps.,All birds love feps.,penguin,bird,love,5,2
Penguins love blickets.,All birds love blickets.,penguin,bird,love,5,3
Penguins love jabberwocks.,All birds love jabberwocks.,penguin,bird,love,5,4
Penguins love toves.,All birds love toves.,penguin,bird,love,5,5
Penguins have wugs.,All birds have wugs.,penguin,bird,have,6,1
Penguins have feps.,All birds have feps.,penguin,bird,have,6,2
Penguins have blickets.,All birds have blickets.,penguin,bird,have,6,3
Penguins have jabberwocks.,All birds have jabberwocks.,penguin,bird,have,6,4
Penguins have toves.,All birds have toves.,penguin,bird,have,6,5
Bats can dax.,All birds can dax.,bat,bird,can,1,1
Bats can wif.,All birds can wif.,bat,bird,can,1,2
Bats can blick.,All birds can blick.,bat,bird,can,1,3
Bats can gyre.,All birds can gyre.,bat,bird,can,1,4
Bats can gimble.,All birds can gimble.,bat,bird,can,1,5
