word1,word2,rel,determiner1,buffer,determiner2,plural1,bufferp,plural2,problem
barley,food,hyp-3,barley,is,a food,barleys,are,foods,
sandwich,food,hyp-4,sandwich,is,a food,sandwiches,are,foods,
custard,food,hyp-3,custard,is,a food,custards,are,foods,
cake,food,hyp-3,cake,is,a food,cakes,are,foods,
sardine,food,hyp-3,sardine,is,a food,sardines,are,foods,
mushroom,food,hyp-3,mushroom,is,a food,mushrooms,are,foods,
bouillon,food,hyp-4,bouillon,is,a food,bouillons,are,foods,
omelet,food,hyp-3,omelet,is,a food,omelets,are,foods,
strawberry,food,hyp-4,strawberry,is,a food,strawberries,are,foods,
chili,food,hyp-3,chili,is,a food,chilis,are,foods,
pastry,food,hyp-4,pastry,is,a food,pastries,are,foods,
popcorn,food,hyp-4,popcorn,is,a food,popcorns,are,foods,
lunch,food,hyp-3,lunch,is,a food,lunches,are,foods,
gravy,food,hyp-3,gravy,is,a food,gravies,are,foods,
onion,food,hyp-3,onion,is,a food,onions,are,foods,
meatball,food,hyp-3,meatball,is,a food,meatballs,are,foods,
parsley,food,hyp-4,parsley,is,a food,parsleys,are,foods,
chicken,food,hyp-4,chicken,is,a food,chickens,are,foods,
pea,food,hyp-4,pea,is,a food,peas,are,foods,
blackberry,food,hyp-4,blackberry,is,a food,blackberries,are,foods,
biscuit,food,hyp-4,biscuit,is,a food,biscuits,are,foods,
ham,food,hyp-4,ham,is,a food,hams,are,foods,
pizza,food,hyp-3,pizza,is,a food,pizzas,are,foods,
herb,food,hyp-4,herb,is,a food,herbs,are,foods,
broth,food,hyp-4,broth,is,a food,broths,are,foods,
veal,food,hyp-2,veal,is,a food,veals,are,foods,
cabbage,food,hyp-4,cabbage,is,a food,cabbages,are,foods,
scallop,food,hyp-3,scallop,is,a food,scallops,are,foods,
sausage,food,hyp-2,sausage,is,a food,sausages,are,foods,
clam,food,hyp-3,clam,is,a food,clams,are,foods,
yogurt,food,hyp-3,yogurt,is,a food,yogurts,are,foods,
dinner,food,hyp-3,dinner,is,a food,dinners,are,foods,
pickle,food,hyp-4,pickle,is,a food,pickles,are,foods,
bagel,food,hyp-4,bagel,is,a food,bagels,are,foods,
grape,food,hyp-3,grape,is,a food,grapes,are,foods,
corn,food,hyp-3,corn,is,a food,corns,are,foods,
mayonnaise,food,hyp-4,mayonnaise,is,a food,mayonnaises,are,foods,
doughnut,food,hyp-4,doughnut,is,a food,doughnuts,are,foods,
gravity,force,hyp-2,gravity,is,a force,gravities,are,forces,2
group,legion,r-hyp-4,a group,is,a legion,groups,are,legions,
jungle,forest,hyp-1,a jungle,is,a forest,jungles,are,forests,
group,party,r-hyp-3,a group,is,a party,groups,are,parties,
geyser,fountain,hyp-1,a geyser,is,a fountain,geysers,are,fountains,
group,staff,r-hyp-3,a group,is,a staff,groups,are,staffs,
gun,rifle,r-hyp-2,a gun,is,a rifle,guns,are,rifles,
liberty,freedom,hyp-1,a liberty,is,a freedom,liberties,are,freedoms,
orange,fruit,hyp-3,an orange,is,a fruit,oranges,are,fruits,
lemon,fruit,hyp-3,a lemon,is,a fruit,lemons,are,fruits,
blackberry,fruit,hyp-3,a blackberry,is,a fruit,blackberries,are,fruits,
kiwi,fruit,hyp-2,a kiwi,is,a fruit,kiwis,are,fruits,
cherry,fruit,hyp-2,a cherry,is,a fruit,cherries,are,fruits,
prune,fruit,hyp-3,a prune,is,a fruit,prunes,are,fruits,
tangerine,fruit,hyp-4,a tangerine,is,a fruit,tangerines,are,fruits,
banana,fruit,hyp-2,a banana,is,a fruit,bananas,are,fruits,
strawberry,fruit,hyp-3,a strawberry,is,a fruit,strawberries,are,fruits,
raisin,fruit,hyp-3,a raisin,is,a fruit,raisins,are,fruits,
peach,fruit,hyp-2,a peach,is,a fruit,peaches,are,fruits,
lime,fruit,hyp-3,a lime,is,a fruit,limes,are,fruits,
home,palace,r-hyp-3,a home,is,a palace,homes,are,palaces,
mushroom,fungus,hyp-3,a mushroom,is,a fungus,mushrooms,are,funguses,
recliner,furniture,hyp-4,a recliner,is,a furniture,recliners,are,furnitures,
bed,furniture,hyp-2,a bed,is,a furniture,beds,are,furnitures,
chair,furniture,hyp-2,a chair,is,a furniture,chairs,are,furnitures,
horse,stud,r-hyp-3,a horse,is,a stud,horses,are,studs,
ball,game,hyp-4,a ball,is,a game,balls,are,games,3
rummy,game,hyp-2,rummy,is,a game,rummies,are,games,2
volleyball,game,hyp-3,volleyball,is,a game,volleyballs,are,games,2
cricket,game,hyp-4,cricket,is,a game,crickets,are,games,2
baseball,game,hyp-4,baseball,is,a game,baseballs,are,games,2
golf,game,hyp-3,golf,is,a game,golves,are,games,2
monopoly,game,hyp-3,monopoly,is,a game,monopolies,are,games,2
squash,game,hyp-3,squash,is,a game,squashes,are,games,2
chess,game,hyp-3,chess,is,a game,chesses,are,games,2
jewelry,earring,r-hyp-1,a jewelry,is,an earring,jewelries,are,earrings,
jewelry,ring,r-hyp-1,a jewelry,is,a ring,jewelries,are,rings,
helium,gas,hyp-2,helium,is,a gas,heliums,are,gases,2
oxygen,gas,hyp-1,oxygen,is,a gas,oxygens,are,gases,2
feast,gathering,hyp-4,a feast,is,a gathering,feasts,are,gatherings,
sapphire,gem,hyp-2,a sapphire,is,a gem,sapphires,are,gems,
diamond,gem,hyp-1,a diamond,is,a gem,diamonds,are,gems,
joint,elbow,r-hyp-3,a joint,is,an elbow,joints,are,elbows,
judgment,verdict,r-hyp-2,a judgment,is,a verdict,judgments,are,verdicts,
maid,girl,hyp-1,a maid,is,a girl,maids,are,girls,
killer,murderer,r-hyp-1,a killer,is,a murderer,killers,are,murderers,
mitten,glove,hyp-1,a mitten,is,a glove,mittens,are,gloves,
kid,goat,hyp-1,a kid,is,a goat,kids,are,goats,
jesus,god,hyp-4,jesus,is,a god,jesuses,are,gods,
grace,goodness,hyp-2,grace,is,a goodness,graces,are,goodnesses,3
gander,goose,hyp-1,a gander,is,a goose,ganders,are,geese,
knife,dagger,r-hyp-1,a knife,is,a dagger,knives,are,daggers,
knowledge,foresight,r-hyp-4,a knowledge,is,a foresight,knowledges,are,foresights,
grandma,grandparent,hyp-1,a grandma,is,a grandparent,grandmas,are,grandparents,
knowledge,instinct,r-hyp-3,a knowledge,is,an instinct,knowledges,are,instincts,
leader,king,r-hyp-3,a leader,is,a king,leaders,are,kings,
supermarket,grocery,hyp-1,a supermarket,is,a grocery,supermarkets,are,groceries,
soil,ground,hyp-1,a soil,is,a ground,soils,are,grounds,3
floor,ground,hyp-1,a floor,is,a ground,floors,are,grounds,3
class,group,hyp-2,a class,is,a group,classes,are,groups,
gang,group,hyp-4,a gang,is,a group,gangs,are,groups,
legion,group,hyp-4,a legion,is,a group,legions,are,groups,
bunch,group,hyp-3,a bunch,is,a group,bunches,are,groups,
mob,group,hyp-3,a mob,is,a group,mobs,are,groups,
party,group,hyp-3,a party,is,a group,parties,are,groups,
conference,group,hyp-4,a conference,is,a group,conferences,are,groups,
union,group,hyp-3,a union,is,a group,unions,are,groups,
crowd,group,hyp-3,a crowd,is,a group,crowds,are,groups,
squad,group,hyp-4,a squad,is,a group,squads,are,groups,
caravan,group,hyp-3,a caravan,is,a group,caravans,are,groups,
crew,group,hyp-3,a crew,is,a group,crews,are,groups,
herd,group,hyp-3,a herd,is,a group,herds,are,groups,
fraternity,group,hyp-3,a fraternity,is,a group,fraternities,are,groups,
division,group,hyp-2,a division,is,a group,divisions,are,groups,
choir,group,hyp-3,a choir,is,a group,choirs,are,groups,
grove,group,hyp-4,a grove,is,a group,groves,are,groups,
committee,group,hyp-4,a committee,is,a group,committees,are,groups,
agency,group,hyp-4,an agency,is,a group,agencies,are,groups,
unit,group,hyp-3,a unit,is,a group,units,are,groups,
youth,group,hyp-3,a youth,is,a group,youths,are,groups,
club,group,hyp-4,a club,is,a group,clubs,are,groups,
staff,group,hyp-3,a staff,is,a group,staffs,are,groups,
society,group,hyp-2,a society,is,a group,societies,are,groups,
leather,suede,r-hyp-1,a leather,is,a suede,leathers,are,suedes,
light,aura,r-hyp-1,a light,is,an aura,lights,are,auras,
liquor,gin,r-hyp-1,a liquor,is,a gin,liquors,are,gin,
colt,gun,hyp-4,a colt,is,a gun,colts,are,guns,
cannon,gun,hyp-1,a cannon,is,a gun,cannons,are,guns,
pistol,gun,hyp-2,a pistol,is,a gun,pistols,are,guns,
rifle,gun,hyp-2,a rifle,is,a gun,rifles,are,guns,
mustache,hair,hyp-2,a mustache,is,a hair,mustaches,are,hair,
luggage,suitcase,r-hyp-1,a luggage,is,a suitcase,luggages,are,suitcases,
migraine,headache,hyp-1,a migraine,is,a headache,migraines,are,headaches,
caption,heading,hyp-3,a caption,is,a heading,captions,are,headings,
machine,computer,r-hyp-1,a machine,is,a computer,machines,are,computers,
barley,herb,hyp-4,a barley,is,a herb,barleys,are,herbs,
maker,producer,r-hyp-1,a maker,is,a producer,makers,are,producers,
mammal,cat,r-hyp-4,a mammal,is,a cat,mammals,are,cats,
mammal,dog,r-hyp-4,a mammal,is,a dog,mammals,are,dogs,
mammal,dolphin,r-hyp-4,a mammal,is,a dolphin,mammals,are,dolphins,
leak,hole,hyp-1,a leak,is,a hole,leaks,are,holes,
easter,holiday,hyp-3,easter,is,a holiday,easters,are,holidays,
palace,home,hyp-3,a palace,is,a home,palaces,are,homes,
lodge,home,hyp-3,a lodge,is,a home,lodges,are,homes,
mansion,home,hyp-2,a mansion,is,a home,mansions,are,homes,
castle,home,hyp-3,a castle,is,a home,castles,are,homes,
mammal,elephant,r-hyp-3,a mammal,is,an elephant,mammals,are,elephants,
material,leather,r-hyp-4,a material,is,leather,materials,are,leathers,
sincerity,honesty,hyp-2,sincerity,is,an honesty,sincerities,are,honesties,
integrity,honesty,hyp-1,integrity,is,an honesty,integrities,are,honesties,
antler,horn,hyp-1,an antler,is,a horn,antlers,are,horns,
stud,horse,hyp-3,a stud,is,a horse,studs,are,horses,
pony,horse,hyp-1,a pony,is,a horse,ponies,are,horses,
cabin,house,hyp-1,a cabin,is,a house,cabins,are,houses,
joke,humor,hyp-1,a joke,is,humor,jokes,are,humor,3
pun,humor,hyp-2,a pun,is,humor,puns,are,humor,
shell,husk,hyp-2,a shell,is,a husk,shells,are,husks,
igloo,hut,hyp-1,an igloo,is,a hut,igloos,are,huts,
suggestion,idea,hyp-1,a suggestion,is,an idea,suggestions,are,ideas,
hypothesis,idea,hyp-2,a hypothesis,is,an idea,hypotheses,are,ideas,
principle,idea,hyp-2,a principle,is,an idea,principles,are,ideas,
notion,idea,hyp-1,a notion,is,an idea,notions,are,ideas,
material,nylon,r-hyp-3,a material,is,a nylon,materials,are,nylons,
flu,illness,hyp-3,a flu,is,an illness,flus,are,illnesses,
obstacle,impediment,hyp-1,an obstacle,is,an impediment,obstacles,are,impediments,
news,information,hyp-1,a news,is,an information,news,are,informations,2
wound,injury,hyp-1,a wound,is,an injury,wounds,are,injuries,
cut,injury,hyp-2,a cut,is,an injury,cuts,are,injuries,
bug,insect,hyp-1,a bug,is,an insect,bugs,are,insects,
ant,insect,hyp-2,an ant,is,an insect,ants,are,insects,
flea,insect,hyp-1,a flea,is,an insect,fleas,are,insects,
mosquito,insect,hyp-2,a mosquito,is,an insect,mosquitoes,are,insects,
butterfly,insect,hyp-2,a butterfly,is,an insect,butterflies,are,insects,
material,rubber,r-hyp-4,a material,is,a rubber,materials,are,rubbers,
lesson,instruction,hyp-1,a lesson,is,an instruction,lessons,are,instructions,
banjo,instrument,hyp-2,a banjo,is,an instrument,banjoes,are,instruments,
compass,instrument,hyp-2,a compass,is,an instrument,compasses,are,instruments,
tuba,instrument,hyp-2,a tuba,is,an instrument,tubas,are,instruments,
trumpet,instrument,hyp-3,a trumpet,is,an instrument,trumpets,are,instruments,
trombone,instrument,hyp-3,a trombone,is,an instrument,trombones,are,instruments,
saxophone,instrument,hyp-4,a saxophone,is,an instrument,saxophones,are,instruments,
flute,instrument,hyp-3,a flute,is,an instrument,flutes,are,instruments,
horn,instrument,hyp-3,a horn,is,an instrument,horns,are,instruments,
oboe,instrument,hyp-4,an oboe,is,an instrument,oboes,are,instruments,
fiddle,instrument,hyp-3,a fiddle,is,an instrument,fiddles,are,instruments,
scalpel,instrument,hyp-4,a scalpel,is,an instrument,scalpels,are,instruments,
bugle,instrument,hyp-3,a bugle,is,an instrument,bugles,are,instruments,
drum,instrument,hyp-2,a drum,is,an instrument,drums,are,instruments,
guitar,instrument,hyp-2,a guitar,is,an instrument,guitars,are,instruments,
harp,instrument,hyp-3,a harp,is,an instrument,harps,are,instruments,
piano,instrument,hyp-2,a piano,is,an instrument,pianos,are,instruments,
violin,instrument,hyp-3,a violin,is,an instrument,violins,are,instruments,
stethoscope,instrument,hyp-2,a stethoscope,is,an instrument,stethoscopes,are,instruments,
meal,snack,r-hyp-1,a meal,is,a snack,meals,are,snacks,
hobby,interest,hyp-1,a hobby,is,an interest,hobbies,are,interests,
meal,supper,r-hyp-1,a meal,is,a supper,meals,are,suppers,
measure,gallon,r-hyp-4,a measure,is,a gallon,measures,are,gallons,
ruby,jewel,hyp-1,a ruby,is,a jewel,rubies,are,jewels,
ring,jewelry,hyp-1,a ring,is,a jewelry,rings,are,jewelries,
earring,jewelry,hyp-1,an earring,is,a jewelry,earrings,are,jewelries,
hip,joint,hyp-3,a hip,is,a joint,hips,are,joints,
elbow,joint,hyp-3,an elbow,is,a joint,elbows,are,joints,
knee,joint,hyp-3,a knee,is,a joint,knees,are,joints,
ankle,joint,hyp-3,an ankle,is,a joint,ankles,are,joints,
trip,journey,hyp-1,a trip,is,a journey,trips,are,journeys,
verdict,judgment,hyp-2,a verdict,is,a judgment,verdicts,are,judgments,
sentence,judgment,hyp-2,a sentence,is,a judgment,sentences,are,judgments,
medicine,tablet,r-hyp-2,a medicine,is,a tablet,medicines,are,tablets,
medium,television,r-hyp-3,a medium,is,a television,mediums,are,televisions,
boy,kid,hyp-2,a boy,is,a kid,boys,are,kids,
meeting,conference,r-hyp-1,a meeting,is,a conference,meetings,are,conferences,
murderer,killer,hyp-1,a murderer,is,a killer,murderers,are,killers,
charity,kindness,hyp-2,charity,is,a kindness,charities,are,kindnesses,2
message,note,r-hyp-3,a message,is,a note,messages,are,notes,
dagger,knife,hyp-1,a dagger,is,a knife,daggers,are,knives,
mixture,solution,r-hyp-1,a mixture,is,a solution,mixtures,are,solutions,
technique,knowledge,hyp-4,a technique,is,a knowledge,techniques,are,knowledge,4
instinct,knowledge,hyp-3,an instinct,is,a knowledge,instincts,are,knowledges,4
intelligence,knowledge,hyp-2,an intelligence,is,a knowledge,intelligences,are,knowledges,4
technology,knowledge,hyp-4,a technology,is,a knowledge,technologies,are,knowledges,4
intellect,knowledge,hyp-3,an intellect,is,a knowledge,intellects,are,knowledges,4
foresight,knowledge,hyp-4,a foresight,is,a knowledge,foresights,are,knowledges,4
understanding,knowledge,hyp-3,an understanding,is,a knowledge,understandings,are,knowledges,4
wisdom,knowledge,hyp-2,a wisdom,is,a knowledge,wisdoms,are,knowledges,4
number,eight,r-hyp-3,a number,is,an eight,numbers,are,eights,
flashlight,lamp,hyp-2,a flashlight,is,a lamp,flashlights,are,lamps,
island,land,hyp-1,an island,is,a land,islands,are,lands,
payment,rent,r-hyp-4,a payment,is,a rent,payments,are,rents,
chairperson,leader,hyp-2,a chairperson,is,a leader,chairpersons,are,leaders,
king,leader,hyp-3,a king,is,a leader,kings,are,leaders,
pope,leader,hyp-2,a pope,is,a leader,popes,are,leaders,
commander,leader,hyp-1,a commander,is,a leader,commanders,are,leaders,
president,leader,hyp-4,a president,is,a leader,presidents,are,leaders,
peace,truce,r-hyp-1,a peace,is,a truce,peaces,are,truces,
perception,vision,r-hyp-2,a perception,is,a vision,perceptions,are,visions,
suede,leather,hyp-1,a suede,is,a leather,suedes,are,leathers,4
period,puberty,r-hyp-2,a period,is,a puberty,periods,are,puberties,2
person,cashier,r-hyp-1,a person,is,a cashier,people,are,cashiers,
person,citizen,r-hyp-2,a person,is,a citizen,people,are,citizens,
diameter,length,hyp-1,a diameter,is,a length,diameters,are,lengths,
contact,lens,hyp-1,a contact,is,a lens,contacts,are,lenses,
person,climber,r-hyp-3,a person,is,a climber,people,are,climbers,
person,guest,r-hyp-3,a person,is,a guest,people,are,guests,
aura,light,hyp-1,an aura,is,a light,auras,are,lights,
torch,light,hyp-1,a torch,is,a light,torches,are,lights,
maximum,limit,hyp-1,a maximum,is,a limit,maximums,are,limits,
person,idol,r-hyp-4,a person,is,an idol,people,are,idols,
column,line,hyp-2,a column,is,a line,columns,are,lines,
stream,line,hyp-1,a stream,is,a line,streams,are,lines,
cord,line,hyp-1,a cord,is,a line,cords,are,lines,
soda,liquid,hyp-3,soda,is,a liquid,sodas,are,liquids,
beer,liquid,hyp-4,beer,is,a liquid,beers,are,liquids,
water,liquid,hyp-1,water,is,a liquid,waters,are,liquids,
milk,liquid,hyp-2,milk,is,a liquid,milks,are,liquids,
gin,liquor,hyp-1,gin,is,a liquor,gins,are,liquors,
schedule,list,hyp-1,a schedule,is,a list,schedules,are,lists,
home,location,hyp-4,a home,is,a location,homes,are,locations,
site,location,hyp-4,a site,is,a location,sites,are,locations,
position,location,hyp-2,a position,is,a location,positions,are,locations,
jesus,lord,hyp-3,jesus,is,a lord,jesuses,are,lords,
boyfriend,lover,hyp-1,a boyfriend,is,a lover,boyfriends,are,lovers,
faith,loyalty,hyp-1,a faith,is,a loyalty,faiths,are,loyalties,3
suitcase,luggage,hyp-1,a suitcase,is,a luggage,suitcases,are,luggages,
typewriter,machine,hyp-3,a typewriter,is,a machine,typewriters,are,machines,
computer,machine,hyp-1,a computer,is,a machine,computers,are,machines,
person,nomad,r-hyp-3,a person,is,a nomad,people,are,nomads,
producer,maker,hyp-1,a producer,is,a maker,producers,are,makers,
dog,mammal,hyp-4,a dog,is,a mammal,dogs,are,mammals,
whale,mammal,hyp-4,a whale,is,a mammal,whales,are,mammals,
human,mammal,hyp-4,a human,is,a mammal,humans,are,mammals,
walrus,mammal,hyp-4,a walrus,is,a mammal,walruses,are,mammals,
seal,mammal,hyp-4,a seal,is,a mammal,seals,are,mammals,
person,proprietor,r-hyp-4,a person,is,a proprietor,people,are,proprietors,
cat,mammal,hyp-4,a cat,is,a mammal,cats,are,mammals,
dolphin,mammal,hyp-4,a dolphin,is,a mammal,dolphins,are,mammals,
elephant,mammal,hyp-3,an elephant,is,a mammal,elephants,are,mammals,
ape,mammal,hyp-3,an ape,is,a mammal,apes,are,mammals,
horse,mammal,hyp-4,a horse,is,a mammal,horses,are,mammals,
boy,man,hyp-1,a boy,is,a man,boys,are,men,
spot,mark,hyp-1,a spot,is,a mark,spots,are,marks,
person,publisher,r-hyp-3,a person,is,a publisher,people,are,publishers,
suede,material,hyp-4,suede,is,a material,suedes,are,materials,
flannel,material,hyp-1,flannel,is,a material,flannels,are,materials,
paper,material,hyp-1,paper,is,a material,papers,are,materials,
leather,material,hyp-4,leather,is,a material,leathers,are,materials,
rubber,material,hyp-4,rubber,is,a material,rubbers,are,materials,
cotton,material,hyp-4,cotton,is,a material,cottons,are,materials,
nylon,material,hyp-3,nylon,is,a material,nylons,are,materials,
silk,material,hyp-1,silk,is,a material,silks,are,materials,
arithmetic,math,hyp-2,arithmatics,is,math,arithmetics,are,maths,2
person,reader,r-hyp-2,a person,is,a reader,people,are,readers,2
algebra,math,hyp-2,algebra,is,math,algebra,are,maths,2
geometry,math,hyp-2,geometry,is,math,geometries,are,maths,2
calculus,math,hyp-2,calculus,is,math,calculuses,are,maths,2
atom,matter,hyp-2,an atom,is,matter,atoms,are,matters,3
earth,matter,hyp-3,an earth,is,a matter,earths,are,matters,3
snack,meal,hyp-1,a snack,is,a meal,snacks,are,meals,
supper,meal,hyp-1,a supper,is,a meal,suppers,are,meals,
meter,measure,hyp-4,a meter,is,a measure,meters,are,measures,
gallon,measure,hyp-4,a gallon,is,a measure,gallons,are,measures,
inch,measure,hyp-4,an inch,is,a measure,inches,are,measures,
ounce,measure,hyp-4,an ounce,is,a measure,ounces,are,measures,
foot,measure,hyp-4,a foot,is,a measure,feet,are,measures,
pint,measure,hyp-4,a pint,is,a measure,pints,are,measures,
gauge,measure,hyp-3,a gauge,is,a measure,gauges,are,measures,
veal,meat,hyp-1,veal,is,a meat,veals,are,meats,2
pork,meat,hyp-1,a pork,is,a meat,porks,are,meats,2
ham,meat,hyp-3,a ham,is,a meat,hams,are,meats,2
sirloin,meat,hyp-2,a sirloin,is,a meat,sirloins,are,meats,2
turkey,meat,hyp-3,a turkey,is,a meat,turkeys,are,meats,2
person,speaker,r-hyp-3,a person,is,a speaker,people,are,speakers,
pile,haystack,r-hyp-2,a pile,is,a haystack,piles,are,haystacks,
pill,medication,hyp-2,a pill,is,a medication,pills,are,medications,
antidote,medicine,hyp-2,an antidote,is,a medicine,antidotes,are,medicines,
tablet,medicine,hyp-2,a tablet,is,a medicine,tablets,are,medicines,
radio,medium,hyp-3,a radio,is,a medium,radios,are,mediums,
television,medium,hyp-3,a television,is,a medium,televisions,are,mediums,
newspaper,medium,hyp-3,a newspaper,is,a medium,newspapers,are,mediums,
conference,meeting,hyp-1,a conference,is,a meeting,conferences,are,meetings,
plaque,memorial,hyp-1,a plaque,is,a memorial,plaques,are,memorials,
reminiscence,memory,hyp-1,a reminiscence,is,a memory,reminiscences,are,memories,
note,message,hyp-3,a note,is,a message,notes,are,messages,
bulletin,message,hyp-4,a bulletin,is,a message,bulletins,are,messages,
gold,metal,hyp-2,a gold,is,a metal,golds,are,metals,
silver,metal,hyp-2,a silver,is,a metal,silvers,are,metals,
plant,flower,r-hyp-4,a plant,is,a flower,plants,are,flowers,
plant,turnip,r-hyp-4,a plant,is,a turnip,plants,are,turnips,
solution,mixture,hyp-1,a solution,is,a mixture,solutions,are,mixtures,
king,monarch,hyp-1,a king,is,a monarch,kings,are,monarches,
poem,sonnet,r-hyp-1,a poem,is,a sonnet,poems,are,sonnets,
poison,venom,r-hyp-3,a poison,is,a venom,poisons,are,venoms,
wave,motion,hyp-1,a wave,is,a motion,waves,are,motions,
politician,governor,r-hyp-1,a politician,is,a governor,politicians,are,governors,
politician,senator,r-hyp-2,a politician,is,a senator,politicians,are,senators,
professional,professor,r-hyp-3,a professional,is,a professor,professionals,are,professors,
soul,music,hyp-3,soul,is,music,souls,are,musics,4
symphony,music,hyp-4,a symphony,is,music,symphonies,are,music,
jazz,music,hyp-2,jazz,is,music,jazzes,are,musics,2
protection,helmet,r-hyp-4,a protection,is,a helmet,protections,are,helmets,
publication,magazine,r-hyp-1,a publication,is,a magazine,publications,are,magazines,
bulletin,news,hyp-2,a bulletin,is,a news,bulletins,are,news,
bang,noise,hyp-1,a bang,is,a noise,bangs,are,noises,
rain,shower,r-hyp-1,a rain,is,a shower,rains,are,showers,
recreation,sport,r-hyp-1,a recreation,is,a sport,recreations,are,sports,
twelve,number,hyp-3,twelve,is,a number,twelves,are,numbers,2
four,number,hyp-3,four,is,a number,fours,are,numbers,2
zero,number,hyp-3,zero,is,a number,zeros,are,numbers,2
six,number,hyp-3,six,is,a number,sixes,are,numbers,2
eight,number,hyp-3,eight,is,a number,eights,are,numbers,2
digit,number,hyp-2,digit,is,a number,digits,are,numbers,2
hundred,number,hyp-3,hundred,is,a number,hundreds,are,numbers,2
nine,number,hyp-3,nine,is,a number,nines,are,numbers,2
cashew,nut,hyp-2,a cashew,is,a nut,cashews,are,nuts,
peanut,nut,hyp-2,a peanut,is,a nut,peanuts,are,nuts,
pecan,nut,hyp-2,a pecan,is,a nut,pecans,are,nuts,
rectangle,square,r-hyp-1,a rectangle,is,a square,rectangles,are,squares,
paddle,oar,hyp-1,a paddle,is,an oar,paddles,are,oars,
incense,odor,hyp-2,an incense,is,an odor,incenses,are,odors,
captain,officer,hyp-3,a captain,is,an officer,captains,are,officers,
colonel,officer,hyp-3,a colonel,is,an officer,colonels,are,officers,
lieutenant,officer,hyp-3,a lieutenant,is,an officer,lieutenants,are,officers,
cop,officer,hyp-1,a cop,is,an officer,cops,are,officers,
corporal,officer,hyp-2,a corporal,is,an officer,corporals,are,officers,
enemy,opponent,hyp-1,an enemy,is,an opponent,enemies,are,opponents,
remorse,repentance,r-hyp-1,a remorse,is,a repentance,remorses,are,repentances,
kidney,organ,hyp-3,a kidney,is,an organ,kidneys,are,organs,
liver,organ,hyp-2,a liver,is,an organ,livers,are,organs,
lung,organ,hyp-3,a lung,is,an organ,lungs,are,organs,
sorority,organization,hyp-3,a sorority,is,an organization,sororities,are,organizations,
company,organization,hyp-2,a company,is,an organization,companies,are,organizations,
club,organization,hyp-4,a club,is,an organization,clubs,are,organizations,
foundation,organization,hyp-3,a foundation,is,an organization,foundations,are,organizations,
department,organization,hyp-4,a department,is,an organization,departments,are,organizations,
robber,outlaw,hyp-2,a robber,is,an outlaw,robbers,are,outlaws,
reptile,alligator,r-hyp-3,a reptile,is,an alligator,reptiles,are,alligators,
pillow,padding,hyp-2,a pillow,is,a padding,pillows,are,paddings,
migraine,pain,hyp-3,a migraine,is,a pain,migraines,are,pains,
restaurant,diner,r-hyp-1,a restaurant,is,a diner,restaurants,are,diners,
headache,pain,hyp-2,a headache,is,a pain,headaches,are,pains,
couple,pair,hyp-1,a couple,is,a pair,couples,are,pairs,
road,avenue,r-hyp-3,a road,is,an avenue,roads,are,avenues,
skillet,pan,hyp-1,a skillet,is,a pan,skillets,are,pans,
road,highway,r-hyp-1,a road,is,a highway,roads,are,highways,
mom,parent,hyp-2,a mom,is,a parent,moms,are,parents,
section,part,hyp-2,a section,is,a part,sections,are,parts,
rock,boulder,r-hyp-1,a rock,is,a boulder,rocks,are,boulders,
banquet,party,hyp-2,a banquet,is,a party,banquets,are,parties,
prom,party,hyp-3,a prom,is,a party,proms,are,parties,
hall,passage,hyp-3,a hall,is,a passage,halls,are,passages,
tunnel,passage,hyp-2,a tunnel,is,a passage,tunnels,are,passages,
sidewalk,path,hyp-2,a sidewalk,is,a path,sidewalks,are,paths,
rent,payment,hyp-4,a rent,is,a payment,rents,are,payments,
truce,peace,hyp-1,a truce,is,a peace,truces,are,peaces,3
society,people,hyp-4,a society,is,a people,societies,are,peoples,3
chili,pepper,hyp-2,a chili,is,a pepper,chilis,are,peppers,
sight,perception,hyp-2,sight,is,a perception,sights,are,perceptions,2
vision,perception,hyp-2,vision,is,a perception,visions,are,perceptions,2
view,perception,hyp-2,a view,is,a perception,views,are,perceptions,2
concert,performance,hyp-1,a concert,is,a performance,concerts,are,performances,
puberty,period,hyp-2,puberty,is,a period,puberties,are,periods,2
term,period,hyp-1,a term,is,a period,terms,are,periods,
idol,person,hyp-4,an idol,is,a person,idols,are,people,
mayor,person,hyp-3,a mayor,is,a person,mayors,are,people,
executive,person,hyp-3,an executive,is,a person,executives,are,people,
citizen,person,hyp-2,a citizen,is,a person,citizens,are,people,
customer,person,hyp-3,a customer,is,a person,customers,are,people,
climber,person,hyp-3,a climber,is,a person,climbers,are,people,
guest,person,hyp-3,a guest,is,a person,guests,are,people,
girl,person,hyp-3,a girl,is,a person,girls,are,people,
cashier,person,hyp-1,a cashier,is,a person,cashiers,are,people,
nomad,person,hyp-3,a nomad,is,a person,nomads,are,people,
publisher,person,hyp-3,a publisher,is,a person,publishers,are,people,
reader,person,hyp-2,a reader,is,a person,readers,are,people,
clerk,person,hyp-3,a clerk,is,a person,clerks,are,people,
salesman,person,hyp-4,a salesman,is,a person,salesmen,are,people,
proprietor,person,hyp-4,a proprietor,is,a person,proprietors,are,people,
poet,person,hyp-3,a poet,is,a person,poets,are,people,
speaker,person,hyp-3,a speaker,is,a person,speakers,are,people,
ruler,dictator,r-hyp-1,a ruler,is,a dictator,rulers,are,dictators,
