stimulus,item,category,feature
squash is enjoyed when done.,squash,sport,10
badminton is enjoyed when done.,badminton,sport,10
racing is enjoyed when done.,racing,sport,10
pole vault is enjoyed when done.,pole vault,sport,10
fencing is enjoyed when done.,fencing,sport,10
bowling is enjoyed when done.,bowling,sport,10
water skiing is enjoyed when done.,water skiing,sport,10
ice skating is enjoyed when done.,ice skating,sport,10
jai alai is enjoyed when done.,jai alai,sport,10
skating is enjoyed when done.,skating,sport,10
skindiving is enjoyed when done.,skindiving,sport,10
sailing is enjoyed when done.,sailing,sport,10
diving is enjoyed when done.,diving,sport,10
archery is enjoyed when done.,archery,sport,10
judo is enjoyed when done.,judo,sport,10
car racing is enjoyed when done.,car racing,sport,10
ping pong is enjoyed when done.,ping pong,sport,10
rowing is enjoyed when done.,rowing,sport,10
fishing is enjoyed when done.,fishing,sport,10
horseback riding is enjoyed when done.,horseback riding,sport,10
running is enjoyed when done.,running,sport,10
horse racing is enjoyed when done.,horse racing,sport,10
hiking is enjoyed when done.,hiking,sport,10
weight lifting is enjoyed when done.,weight lifting,sport,10
croquet is enjoyed when done.,croquet,sport,10
horseshoes is enjoyed when done.,horseshoes,sport,10
boating is enjoyed when done.,boating,sport,10
pool is enjoyed when done.,pool,sport,10
billiards is enjoyed when done.,billiards,sport,10
hunting is enjoyed when done.,hunting,sport,10
jump rope is enjoyed when done.,jump rope,sport,10
camping is enjoyed when done.,camping,sport,10
chess is enjoyed when done.,chess,sport,10
dancing is enjoyed when done.,dancing,sport,10
checkers is enjoyed when done.,checkers,sport,10
cards is enjoyed when done.,cards,sport,10
sunbathing is enjoyed when done.,sunbathing,sport,10
football is not a solitary activity.,football,sport,11
baseball is not a solitary activity.,baseball,sport,11
basketball is not a solitary activity.,basketball,sport,11
tennis is not a solitary activity.,tennis,sport,11
softball is not a solitary activity.,softball,sport,11
canoeing is not a solitary activity.,canoeing,sport,11
handball is not a solitary activity.,handball,sport,11
rugby is not a solitary activity.,rugby,sport,11
hockey is not a solitary activity.,hockey,sport,11
ice hockey is not a solitary activity.,ice hockey,sport,11
swimming is not a solitary activity.,swimming,sport,11
track is not a solitary activity.,track,sport,11
boxing is not a solitary activity.,boxing,sport,11
volleyball is not a solitary activity.,volleyball,sport,11
lacrosse is not a solitary activity.,lacrosse,sport,11
skiing is not a solitary activity.,skiing,sport,11
golf is not a solitary activity.,golf,sport,11
polo is not a solitary activity.,polo,sport,11
surfing is not a solitary activity.,surfing,sport,11
wrestling is not a solitary activity.,wrestling,sport,11
gymnastics is not a solitary activity.,gymnastics,sport,11
cricket is not a solitary activity.,cricket,sport,11
squash is not a solitary activity.,squash,sport,11
badminton is not a solitary activity.,badminton,sport,11
racing is not a solitary activity.,racing,sport,11
pole vault is not a solitary activity.,pole vault,sport,11
fencing is not a solitary activity.,fencing,sport,11
bowling is not a solitary activity.,bowling,sport,11
water skiing is not a solitary activity.,water skiing,sport,11
ice skating is not a solitary activity.,ice skating,sport,11
jai alai is not a solitary activity.,jai alai,sport,11
skating is not a solitary activity.,skating,sport,11
skindiving is not a solitary activity.,skindiving,sport,11
sailing is not a solitary activity.,sailing,sport,11
diving is not a solitary activity.,diving,sport,11
archery is not a solitary activity.,archery,sport,11
judo is not a solitary activity.,judo,sport,11
car racing is not a solitary activity.,car racing,sport,11
ping pong is not a solitary activity.,ping pong,sport,11
rowing is not a solitary activity.,rowing,sport,11
fishing is not a solitary activity.,fishing,sport,11
horseback riding is not a solitary activity.,horseback riding,sport,11
running is not a solitary activity.,running,sport,11
horse racing is not a solitary activity.,horse racing,sport,11
hiking is not a solitary activity.,hiking,sport,11
weight lifting is not a solitary activity.,weight lifting,sport,11
croquet is not a solitary activity.,croquet,sport,11
horseshoes is not a solitary activity.,horseshoes,sport,11
boating is not a solitary activity.,boating,sport,11
pool is not a solitary activity.,pool,sport,11
billiards is not a solitary activity.,billiards,sport,11
hunting is not a solitary activity.,hunting,sport,11
jump rope is not a solitary activity.,jump rope,sport,11
camping is not a solitary activity.,camping,sport,11
chess is not a solitary activity.,chess,sport,11
dancing is not a solitary activity.,dancing,sport,11
checkers is not a solitary activity.,checkers,sport,11
cards is not a solitary activity.,cards,sport,11
sunbathing is not a solitary activity.,sunbathing,sport,11
football has teams.,football,sport,12
baseball has teams.,baseball,sport,12
basketball has teams.,basketball,sport,12
tennis has teams.,tennis,sport,12
softball has teams.,softball,sport,12
canoeing has teams.,canoeing,sport,12
handball has teams.,handball,sport,12
rugby has teams.,rugby,sport,12
hockey has teams.,hockey,sport,12
ice hockey has teams.,ice hockey,sport,12
swimming has teams.,swimming,sport,12
track has teams.,track,sport,12
boxing has teams.,boxing,sport,12
volleyball has teams.,volleyball,sport,12
lacrosse has teams.,lacrosse,sport,12
skiing has teams.,skiing,sport,12
golf has teams.,golf,sport,12
polo has teams.,polo,sport,12
surfing has teams.,surfing,sport,12
wrestling has teams.,wrestling,sport,12
gymnastics has teams.,gymnastics,sport,12
cricket has teams.,cricket,sport,12
squash has teams.,squash,sport,12
badminton has teams.,badminton,sport,12
racing has teams.,racing,sport,12
pole vault has teams.,pole vault,sport,12
fencing has teams.,fencing,sport,12
bowling has teams.,bowling,sport,12
water skiing has teams.,water skiing,sport,12
ice skating has teams.,ice skating,sport,12
jai alai has teams.,jai alai,sport,12
skating has teams.,skating,sport,12
skindiving has teams.,skindiving,sport,12
sailing has teams.,sailing,sport,12
diving has teams.,diving,sport,12
archery has teams.,archery,sport,12
judo has teams.,judo,sport,12
car racing has teams.,car racing,sport,12
ping pong has teams.,ping pong,sport,12
rowing has teams.,rowing,sport,12
fishing has teams.,fishing,sport,12
horseback riding has teams.,horseback riding,sport,12
running has teams.,running,sport,12
horse racing has teams.,horse racing,sport,12
hiking has teams.,hiking,sport,12
weight lifting has teams.,weight lifting,sport,12
croquet has teams.,croquet,sport,12
horseshoes has teams.,horseshoes,sport,12
boating has teams.,boating,sport,12
pool has teams.,pool,sport,12
billiards has teams.,billiards,sport,12
hunting has teams.,hunting,sport,12
jump rope has teams.,jump rope,sport,12
camping has teams.,camping,sport,12
chess has teams.,chess,sport,12
dancing has teams.,dancing,sport,12
checkers has teams.,checkers,sport,12
cards has teams.,cards,sport,12
sunbathing has teams.,sunbathing,sport,12
football has spectators.,football,sport,13
baseball has spectators.,baseball,sport,13
basketball has spectators.,basketball,sport,13
tennis has spectators.,tennis,sport,13
softball has spectators.,softball,sport,13
canoeing has spectators.,canoeing,sport,13
handball has spectators.,handball,sport,13
rugby has spectators.,rugby,sport,13
hockey has spectators.,hockey,sport,13
ice hockey has spectators.,ice hockey,sport,13
swimming has spectators.,swimming,sport,13
track has spectators.,track,sport,13
boxing has spectators.,boxing,sport,13
volleyball has spectators.,volleyball,sport,13
lacrosse has spectators.,lacrosse,sport,13
skiing has spectators.,skiing,sport,13
golf has spectators.,golf,sport,13
polo has spectators.,polo,sport,13
surfing has spectators.,surfing,sport,13
wrestling has spectators.,wrestling,sport,13
gymnastics has spectators.,gymnastics,sport,13
cricket has spectators.,cricket,sport,13
squash has spectators.,squash,sport,13
badminton has spectators.,badminton,sport,13
racing has spectators.,racing,sport,13
pole vault has spectators.,pole vault,sport,13
fencing has spectators.,fencing,sport,13
bowling has spectators.,bowling,sport,13
water skiing has spectators.,water skiing,sport,13
ice skating has spectators.,ice skating,sport,13
jai alai has spectators.,jai alai,sport,13
skating has spectators.,skating,sport,13
skindiving has spectators.,skindiving,sport,13
sailing has spectators.,sailing,sport,13
diving has spectators.,diving,sport,13
archery has spectators.,archery,sport,13
judo has spectators.,judo,sport,13
car racing has spectators.,car racing,sport,13
ping pong has spectators.,ping pong,sport,13
rowing has spectators.,rowing,sport,13
fishing has spectators.,fishing,sport,13
horseback riding has spectators.,horseback riding,sport,13
running has spectators.,running,sport,13
horse racing has spectators.,horse racing,sport,13
hiking has spectators.,hiking,sport,13
weight lifting has spectators.,weight lifting,sport,13
croquet has spectators.,croquet,sport,13
horseshoes has spectators.,horseshoes,sport,13
boating has spectators.,boating,sport,13
pool has spectators.,pool,sport,13
billiards has spectators.,billiards,sport,13
hunting has spectators.,hunting,sport,13
jump rope has spectators.,jump rope,sport,13
camping has spectators.,camping,sport,13
chess has spectators.,chess,sport,13
dancing has spectators.,dancing,sport,13
checkers has spectators.,checkers,sport,13
cards has spectators.,cards,sport,13
sunbathing has spectators.,sunbathing,sport,13
football involves physical skill.,football,sport,14
baseball involves physical skill.,baseball,sport,14
basketball involves physical skill.,basketball,sport,14
tennis involves physical skill.,tennis,sport,14
softball involves physical skill.,softball,sport,14
canoeing involves physical skill.,canoeing,sport,14
handball involves physical skill.,handball,sport,14
rugby involves physical skill.,rugby,sport,14
hockey involves physical skill.,hockey,sport,14
ice hockey involves physical skill.,ice hockey,sport,14
swimming involves physical skill.,swimming,sport,14
track involves physical skill.,track,sport,14
boxing involves physical skill.,boxing,sport,14
volleyball involves physical skill.,volleyball,sport,14
lacrosse involves physical skill.,lacrosse,sport,14
skiing involves physical skill.,skiing,sport,14
golf involves physical skill.,golf,sport,14
polo involves physical skill.,polo,sport,14
surfing involves physical skill.,surfing,sport,14
wrestling involves physical skill.,wrestling,sport,14
gymnastics involves physical skill.,gymnastics,sport,14
cricket involves physical skill.,cricket,sport,14
squash involves physical skill.,squash,sport,14
badminton involves physical skill.,badminton,sport,14
racing involves physical skill.,racing,sport,14
pole vault involves physical skill.,pole vault,sport,14
fencing involves physical skill.,fencing,sport,14
bowling involves physical skill.,bowling,sport,14
water skiing involves physical skill.,water skiing,sport,14
ice skating involves physical skill.,ice skating,sport,14
jai alai involves physical skill.,jai alai,sport,14
skating involves physical skill.,skating,sport,14
skindiving involves physical skill.,skindiving,sport,14
sailing involves physical skill.,sailing,sport,14
diving involves physical skill.,diving,sport,14
archery involves physical skill.,archery,sport,14
judo involves physical skill.,judo,sport,14
car racing involves physical skill.,car racing,sport,14
ping pong involves physical skill.,ping pong,sport,14
rowing involves physical skill.,rowing,sport,14
fishing involves physical skill.,fishing,sport,14
horseback riding involves physical skill.,horseback riding,sport,14
running involves physical skill.,running,sport,14
horse racing involves physical skill.,horse racing,sport,14
hiking involves physical skill.,hiking,sport,14
weight lifting involves physical skill.,weight lifting,sport,14
croquet involves physical skill.,croquet,sport,14
horseshoes involves physical skill.,horseshoes,sport,14
boating involves physical skill.,boating,sport,14
pool involves physical skill.,pool,sport,14
billiards involves physical skill.,billiards,sport,14
hunting involves physical skill.,hunting,sport,14
jump rope involves physical skill.,jump rope,sport,14
camping involves physical skill.,camping,sport,14
chess involves physical skill.,chess,sport,14
dancing involves physical skill.,dancing,sport,14
checkers involves physical skill.,checkers,sport,14
cards involves physical skill.,cards,sport,14
sunbathing involves physical skill.,sunbathing,sport,14
football has rules.,football,sport,15
baseball has rules.,baseball,sport,15
basketball has rules.,basketball,sport,15
tennis has rules.,tennis,sport,15
softball has rules.,softball,sport,15
canoeing has rules.,canoeing,sport,15
handball has rules.,handball,sport,15
rugby has rules.,rugby,sport,15
hockey has rules.,hockey,sport,15
ice hockey has rules.,ice hockey,sport,15
swimming has rules.,swimming,sport,15
track has rules.,track,sport,15
boxing has rules.,boxing,sport,15
volleyball has rules.,volleyball,sport,15
lacrosse has rules.,lacrosse,sport,15
skiing has rules.,skiing,sport,15
golf has rules.,golf,sport,15
polo has rules.,polo,sport,15
surfing has rules.,surfing,sport,15
wrestling has rules.,wrestling,sport,15
gymnastics has rules.,gymnastics,sport,15
cricket has rules.,cricket,sport,15
squash has rules.,squash,sport,15
badminton has rules.,badminton,sport,15
racing has rules.,racing,sport,15
pole vault has rules.,pole vault,sport,15
fencing has rules.,fencing,sport,15
bowling has rules.,bowling,sport,15
water skiing has rules.,water skiing,sport,15
ice skating has rules.,ice skating,sport,15
jai alai has rules.,jai alai,sport,15
skating has rules.,skating,sport,15
skindiving has rules.,skindiving,sport,15
sailing has rules.,sailing,sport,15
diving has rules.,diving,sport,15
archery has rules.,archery,sport,15
judo has rules.,judo,sport,15
car racing has rules.,car racing,sport,15
ping pong has rules.,ping pong,sport,15
rowing has rules.,rowing,sport,15
fishing has rules.,fishing,sport,15
horseback riding has rules.,horseback riding,sport,15
running has rules.,running,sport,15
horse racing has rules.,horse racing,sport,15
hiking has rules.,hiking,sport,15
weight lifting has rules.,weight lifting,sport,15
croquet has rules.,croquet,sport,15
horseshoes has rules.,horseshoes,sport,15
boating has rules.,boating,sport,15
pool has rules.,pool,sport,15
billiards has rules.,billiards,sport,15
hunting has rules.,hunting,sport,15
jump rope has rules.,jump rope,sport,15
camping has rules.,camping,sport,15
chess has rules.,chess,sport,15
dancing has rules.,dancing,sport,15
checkers has rules.,checkers,sport,15
cards has rules.,cards,sport,15
sunbathing has rules.,sunbathing,sport,15
football uses special equipment.,football,sport,16
baseball uses special equipment.,baseball,sport,16
basketball uses special equipment.,basketball,sport,16
tennis uses special equipment.,tennis,sport,16
softball uses special equipment.,softball,sport,16
canoeing uses special equipment.,canoeing,sport,16
handball uses special equipment.,handball,sport,16
rugby uses special equipment.,rugby,sport,16
hockey uses special equipment.,hockey,sport,16
ice hockey uses special equipment.,ice hockey,sport,16
swimming uses special equipment.,swimming,sport,16
track uses special equipment.,track,sport,16
boxing uses special equipment.,boxing,sport,16
volleyball uses special equipment.,volleyball,sport,16
lacrosse uses special equipment.,lacrosse,sport,16
skiing uses special equipment.,skiing,sport,16
golf uses special equipment.,golf,sport,16
polo uses special equipment.,polo,sport,16
surfing uses special equipment.,surfing,sport,16
wrestling uses special equipment.,wrestling,sport,16
gymnastics uses special equipment.,gymnastics,sport,16
cricket uses special equipment.,cricket,sport,16
squash uses special equipment.,squash,sport,16
badminton uses special equipment.,badminton,sport,16
racing uses special equipment.,racing,sport,16
pole vault uses special equipment.,pole vault,sport,16
fencing uses special equipment.,fencing,sport,16
bowling uses special equipment.,bowling,sport,16
water skiing uses special equipment.,water skiing,sport,16
ice skating uses special equipment.,ice skating,sport,16
jai alai uses special equipment.,jai alai,sport,16
skating uses special equipment.,skating,sport,16
skindiving uses special equipment.,skindiving,sport,16
sailing uses special equipment.,sailing,sport,16
diving uses special equipment.,diving,sport,16
archery uses special equipment.,archery,sport,16
judo uses special equipment.,judo,sport,16
car racing uses special equipment.,car racing,sport,16
ping pong uses special equipment.,ping pong,sport,16
rowing uses special equipment.,rowing,sport,16
fishing uses special equipment.,fishing,sport,16
horseback riding uses special equipment.,horseback riding,sport,16
running uses special equipment.,running,sport,16
horse racing uses special equipment.,horse racing,sport,16
hiking uses special equipment.,hiking,sport,16
weight lifting uses special equipment.,weight lifting,sport,16
croquet uses special equipment.,croquet,sport,16
horseshoes uses special equipment.,horseshoes,sport,16
boating uses special equipment.,boating,sport,16
pool uses special equipment.,pool,sport,16
billiards uses special equipment.,billiards,sport,16
hunting uses special equipment.,hunting,sport,16
jump rope uses special equipment.,jump rope,sport,16
camping uses special equipment.,camping,sport,16
chess uses special equipment.,chess,sport,16
dancing uses special equipment.,dancing,sport,16
checkers uses special equipment.,checkers,sport,16
cards uses special equipment.,cards,sport,16
sunbathing uses special equipment.,sunbathing,sport,16
football takes place outdoors.,football,sport,17
baseball takes place outdoors.,baseball,sport,17
basketball takes place outdoors.,basketball,sport,17
tennis takes place outdoors.,tennis,sport,17
softball takes place outdoors.,softball,sport,17
canoeing takes place outdoors.,canoeing,sport,17
handball takes place outdoors.,handball,sport,17
rugby takes place outdoors.,rugby,sport,17
hockey takes place outdoors.,hockey,sport,17
ice hockey takes place outdoors.,ice hockey,sport,17
swimming takes place outdoors.,swimming,sport,17
track takes place outdoors.,track,sport,17
boxing takes place outdoors.,boxing,sport,17
volleyball takes place outdoors.,volleyball,sport,17
lacrosse takes place outdoors.,lacrosse,sport,17
skiing takes place outdoors.,skiing,sport,17
golf takes place outdoors.,golf,sport,17
polo takes place outdoors.,polo,sport,17
surfing takes place outdoors.,surfing,sport,17
wrestling takes place outdoors.,wrestling,sport,17
gymnastics takes place outdoors.,gymnastics,sport,17
cricket takes place outdoors.,cricket,sport,17
squash takes place outdoors.,squash,sport,17
badminton takes place outdoors.,badminton,sport,17
racing takes place outdoors.,racing,sport,17
pole vault takes place outdoors.,pole vault,sport,17
fencing takes place outdoors.,fencing,sport,17
bowling takes place outdoors.,bowling,sport,17
water skiing takes place outdoors.,water skiing,sport,17
ice skating takes place outdoors.,ice skating,sport,17
jai alai takes place outdoors.,jai alai,sport,17
skating takes place outdoors.,skating,sport,17
skindiving takes place outdoors.,skindiving,sport,17
sailing takes place outdoors.,sailing,sport,17
diving takes place outdoors.,diving,sport,17
archery takes place outdoors.,archery,sport,17
judo takes place outdoors.,judo,sport,17
car racing takes place outdoors.,car racing,sport,17
ping pong takes place outdoors.,ping pong,sport,17
rowing takes place outdoors.,rowing,sport,17
fishing takes place outdoors.,fishing,sport,17
horseback riding takes place outdoors.,horseback riding,sport,17
running takes place outdoors.,running,sport,17
horse racing takes place outdoors.,horse racing,sport,17
hiking takes place outdoors.,hiking,sport,17
weight lifting takes place outdoors.,weight lifting,sport,17
croquet takes place outdoors.,croquet,sport,17
horseshoes takes place outdoors.,horseshoes,sport,17
boating takes place outdoors.,boating,sport,17
pool takes place outdoors.,pool,sport,17
billiards takes place outdoors.,billiards,sport,17
hunting takes place outdoors.,hunting,sport,17
jump rope takes place outdoors.,jump rope,sport,17
camping takes place outdoors.,camping,sport,17
chess takes place outdoors.,chess,sport,17
dancing takes place outdoors.,dancing,sport,17
checkers takes place outdoors.,checkers,sport,17
cards takes place outdoors.,cards,sport,17
sunbathing takes place outdoors.,sunbathing,sport,17
football is exercise.,football,sport,18
baseball is exercise.,baseball,sport,18
basketball is exercise.,basketball,sport,18
tennis is exercise.,tennis,sport,18
softball is exercise.,softball,sport,18
canoeing is exercise.,canoeing,sport,18
handball is exercise.,handball,sport,18
rugby is exercise.,rugby,sport,18
hockey is exercise.,hockey,sport,18
ice hockey is exercise.,ice hockey,sport,18
swimming is exercise.,swimming,sport,18
track is exercise.,track,sport,18
boxing is exercise.,boxing,sport,18
volleyball is exercise.,volleyball,sport,18
lacrosse is exercise.,lacrosse,sport,18
skiing is exercise.,skiing,sport,18
golf is exercise.,golf,sport,18
polo is exercise.,polo,sport,18
surfing is exercise.,surfing,sport,18
wrestling is exercise.,wrestling,sport,18
gymnastics is exercise.,gymnastics,sport,18
cricket is exercise.,cricket,sport,18
squash is exercise.,squash,sport,18
badminton is exercise.,badminton,sport,18
racing is exercise.,racing,sport,18
pole vault is exercise.,pole vault,sport,18
fencing is exercise.,fencing,sport,18
bowling is exercise.,bowling,sport,18
water skiing is exercise.,water skiing,sport,18
ice skating is exercise.,ice skating,sport,18
jai alai is exercise.,jai alai,sport,18
skating is exercise.,skating,sport,18
skindiving is exercise.,skindiving,sport,18
sailing is exercise.,sailing,sport,18
diving is exercise.,diving,sport,18
archery is exercise.,archery,sport,18
judo is exercise.,judo,sport,18
car racing is exercise.,car racing,sport,18
ping pong is exercise.,ping pong,sport,18
rowing is exercise.,rowing,sport,18
fishing is exercise.,fishing,sport,18
horseback riding is exercise.,horseback riding,sport,18
running is exercise.,running,sport,18
horse racing is exercise.,horse racing,sport,18
hiking is exercise.,hiking,sport,18
weight lifting is exercise.,weight lifting,sport,18
croquet is exercise.,croquet,sport,18
horseshoes is exercise.,horseshoes,sport,18
boating is exercise.,boating,sport,18
pool is exercise.,pool,sport,18
billiards is exercise.,billiards,sport,18
hunting is exercise.,hunting,sport,18
jump rope is exercise.,jump rope,sport,18
camping is exercise.,camping,sport,18
chess is exercise.,chess,sport,18
dancing is exercise.,dancing,sport,18
checkers is exercise.,checkers,sport,18
cards is exercise.,cards,sport,18
sunbathing is exercise.,sunbathing,sport,18
pea is edible.,pea,vegetable,1
carrot is edible.,carrot,vegetable,1
green beans are edible.,green beans,vegetable,1
string beans are edible.,string beans,vegetable,1
spinach is edible.,spinach,vegetable,1
broccoli is edible.,broccoli,vegetable,1
asparagus are edible.,asparagus,vegetable,1
corn is edible.,corn,vegetable,1
cauliflower is edible.,cauliflower,vegetable,1
brussels sprouts are edible.,brussels sprouts,vegetable,1
squash is edible.,squash,vegetable,1
lettuce is edible.,lettuce,vegetable,1
celery is edible.,celery,vegetable,1
cucumber is edible.,cucumber,vegetable,1
beets are edible.,beets,vegetable,1
greens are edible.,greens,vegetable,1
tomato is edible.,tomato,vegetable,1
lima beans are edible.,lima beans,vegetable,1
artichokes are edible.,artichokes,vegetable,1
turnip is edible.,turnip,vegetable,1
eggplant is edible.,eggplant,vegetable,1
romaine is edible.,romaine,vegetable,1
green peppers are edible.,green peppers,vegetable,1
okra is edible.,okra,vegetable,1
radish is edible.,radishes,vegetable,1
onions are edible.,onions,vegetable,1
bean is edible.,bean,vegetable,1
green onion is edible.,green onion,vegetable,1
potato is edible.,potato,vegetable,1
parsnip is edible.,parsnip,vegetable,1
turnip greens are edible.,turnip greens,vegetable,1
collard is edible.,collard,vegetable,1
wax beans are edible.,wax beans,vegetable,1
watercress is edible.,watercress,vegetable,1
black eyed peas are edible.,black eyed peas,vegetable,1
leek is edible.,leek,vegetable,1
peppers are edible.,peppers,vegetable,1
sweet potato is edible.,sweet potato,vegetable,1
yams are edible.,yams,vegetable,1
parsley is edible.,parsley,vegetable,1
endive is edible.,endive,vegetable,1
rutabaga is edible.,rutabaga,vegetable,1
mushroom is edible.,mushroom,vegetable,1
avocado is edible.,avocado,vegetable,1
rhubarb is edible.,rhubarb,vegetable,1
kale is edible.,kale,vegetable,1
escarole is edible.,escarole,vegetable,1
sauerkraut is edible.,sauerkraut,vegetable,1
pickles are edible.,pickles,vegetable,1
baked beans are edible.,baked beans,vegetable,1
pumpkin is edible.,pumpkin,vegetable,1
seaweed is edible.,seaweed,vegetable,1
garlic is edible.,garlic,vegetable,1
dandelion is edible.,dandelion,vegetable,1
peanut is edible.,peanut,vegetable,1
rice is edible.,rice,vegetable,1
pea is eaten.,pea,vegetable,2
carrot is eaten.,carrot,vegetable,2
green beans are eaten.,green beans,vegetable,2
string beans are eaten.,string beans,vegetable,2
spinach is eaten.,spinach,vegetable,2
broccoli is eaten.,broccoli,vegetable,2
asparagus are eaten.,asparagus,vegetable,2
corn is eaten.,corn,vegetable,2
cauliflower is eaten.,cauliflower,vegetable,2
brussels sprouts are eaten.,brussels sprouts,vegetable,2
squash is eaten.,squash,vegetable,2
lettuce is eaten.,lettuce,vegetable,2
celery is eaten.,celery,vegetable,2
cucumber is eaten.,cucumber,vegetable,2
beets are eaten.,beets,vegetable,2
greens are eaten.,greens,vegetable,2
tomato is eaten.,tomato,vegetable,2
lima beans are eaten.,lima beans,vegetable,2
artichokes are eaten.,artichokes,vegetable,2
turnip is eaten.,turnip,vegetable,2
eggplant is eaten.,eggplant,vegetable,2
romaine is eaten.,romaine,vegetable,2
green peppers are eaten.,green peppers,vegetable,2
okra is eaten.,okra,vegetable,2
radish is eaten.,radishes,vegetable,2
onions are eaten.,onions,vegetable,2
bean is eaten.,bean,vegetable,2
green onion is eaten.,green onion,vegetable,2
potato is eaten.,potato,vegetable,2
parsnip is eaten.,parsnip,vegetable,2
turnip greens are eaten.,turnip greens,vegetable,2
collard is eaten.,collard,vegetable,2
wax beans are eaten.,wax beans,vegetable,2
watercress is eaten.,watercress,vegetable,2
black eyed peas are eaten.,black eyed peas,vegetable,2
leek is eaten.,leek,vegetable,2
peppers are eaten.,peppers,vegetable,2
sweet potato is eaten.,sweet potato,vegetable,2
yams are eaten.,yams,vegetable,2
parsley is eaten.,parsley,vegetable,2
endive is eaten.,endive,vegetable,2
rutabaga is eaten.,rutabaga,vegetable,2
mushroom is eaten.,mushroom,vegetable,2
avocado is eaten.,avocado,vegetable,2
rhubarb is eaten.,rhubarb,vegetable,2
kale is eaten.,kale,vegetable,2
escarole is eaten.,escarole,vegetable,2
sauerkraut is eaten.,sauerkraut,vegetable,2
pickles are eaten.,pickles,vegetable,2
baked beans are eaten.,baked beans,vegetable,2
pumpkin is eaten.,pumpkin,vegetable,2
seaweed is eaten.,seaweed,vegetable,2
garlic is eaten.,garlic,vegetable,2
dandelion is eaten.,dandelion,vegetable,2
peanut is eaten.,peanut,vegetable,2
rice is eaten.,rice,vegetable,2
pea is a plant.,pea,vegetable,3
carrot is a plant.,carrot,vegetable,3
green beans are plants.,green beans,vegetable,3
string beans are plants.,string beans,vegetable,3
spinach is a plant.,spinach,vegetable,3
broccoli is a plant.,broccoli,vegetable,3
asparagus are plants.,asparagus,vegetable,3
corn is a plant.,corn,vegetable,3
cauliflower is a plant.,cauliflower,vegetable,3
brussels sprouts are plants.,brussels sprouts,vegetable,3
squash is a plant.,squash,vegetable,3
lettuce is a plant.,lettuce,vegetable,3
celery is a plant.,celery,vegetable,3
cucumber is a plant.,cucumber,vegetable,3
beets are plants.,beets,vegetable,3
greens are plants.,greens,vegetable,3
tomato is a plant.,tomato,vegetable,3
lima beans are plants.,lima beans,vegetable,3
artichokes are plants.,artichokes,vegetable,3
turnip is a plant.,turnip,vegetable,3
eggplant is a plant.,eggplant,vegetable,3
romaine is a plant.,romaine,vegetable,3
green peppers are plants.,green peppers,vegetable,3
okra is a plant.,okra,vegetable,3
radish is a plant.,radishes,vegetable,3
onions are plants.,onions,vegetable,3
bean is a plant.,bean,vegetable,3
green onion is a plant.,green onion,vegetable,3
potato is a plant.,potato,vegetable,3
parsnip is a plant.,parsnip,vegetable,3
turnip greens are plants.,turnip greens,vegetable,3
collard is a plant.,collard,vegetable,3
wax beans are plants.,wax beans,vegetable,3
watercress is a plant.,watercress,vegetable,3
black eyed peas are plants.,black eyed peas,vegetable,3
leek is a plant.,leek,vegetable,3
peppers are plants.,peppers,vegetable,3
sweet potato is a plant.,sweet potato,vegetable,3
yams are plants.,yams,vegetable,3
parsley is a plant.,parsley,vegetable,3
endive is a plant.,endive,vegetable,3
rutabaga is a plant.,rutabaga,vegetable,3
mushroom is a plant.,mushroom,vegetable,3
avocado is a plant.,avocado,vegetable,3
rhubarb is a plant.,rhubarb,vegetable,3
kale is a plant.,kale,vegetable,3
escarole is a plant.,escarole,vegetable,3
sauerkraut is a plant.,sauerkraut,vegetable,3
pickles are plants.,pickles,vegetable,3
baked beans are plants.,baked beans,vegetable,3
pumpkin is a plant.,pumpkin,vegetable,3
seaweed is a plant.,seaweed,vegetable,3
garlic is a plant.,garlic,vegetable,3
dandelion is a plant.,dandelion,vegetable,3
peanut is a plant.,peanut,vegetable,3
rice is a plant.,rice,vegetable,3
pea is organic.,pea,vegetable,4
carrot is organic.,carrot,vegetable,4
green beans are organic.,green beans,vegetable,4
string beans are organic.,string beans,vegetable,4
spinach is organic.,spinach,vegetable,4
broccoli is organic.,broccoli,vegetable,4
asparagus are organic.,asparagus,vegetable,4
corn is organic.,corn,vegetable,4
cauliflower is organic.,cauliflower,vegetable,4
brussels sprouts are organic.,brussels sprouts,vegetable,4
squash is organic.,squash,vegetable,4
lettuce is organic.,lettuce,vegetable,4
celery is organic.,celery,vegetable,4
cucumber is organic.,cucumber,vegetable,4
beets are organic.,beets,vegetable,4
greens are organic.,greens,vegetable,4
tomato is organic.,tomato,vegetable,4
lima beans are organic.,lima beans,vegetable,4
artichokes are organic.,artichokes,vegetable,4
turnip is organic.,turnip,vegetable,4
eggplant is organic.,eggplant,vegetable,4
romaine is organic.,romaine,vegetable,4
green peppers are organic.,green peppers,vegetable,4
okra is organic.,okra,vegetable,4
radish is organic.,radishes,vegetable,4
onions are organic.,onions,vegetable,4
bean is organic.,bean,vegetable,4
green onion is organic.,green onion,vegetable,4
potato is organic.,potato,vegetable,4
parsnip is organic.,parsnip,vegetable,4
turnip greens are organic.,turnip greens,vegetable,4
collard is organic.,collard,vegetable,4
wax beans are organic.,wax beans,vegetable,4
watercress is organic.,watercress,vegetable,4
