premise,conclusion,item,category,blankpredicate,item_word,category_word,predicate_id,argument_id,score,conclusion_only,params,model
Horseback riding includes blicking.,All sports include blicking.,horseback riding,sport,includes,Horseback riding,sports,3,3,-18.443174242973328,-17.82571029663086,0,5gram
Horseback riding includes gyring.,All sports include gyring.,horseback riding,sport,includes,Horseback riding,sports,3,4,-18.443174242973328,-17.82571029663086,0,5gram
Horseback riding includes gimbling.,All sports include gimbling.,horseback riding,sport,includes,Horseback riding,sports,3,5,-18.443174242973328,-17.82571029663086,0,5gram
Horseback riding is beamish.,All sports are beamish.,horseback riding,sport,is,Horseback riding,sports,4,1,-16.941375732421875,-15.597245216369629,0,5gram
Horseback riding is slithy.,All sports are slithy.,horseback riding,sport,is,Horseback riding,sports,4,2,-18.121559977531433,-16.777429580688477,0,5gram
Horseback riding is mimsy.,All sports are mimsy.,horseback riding,sport,is,Horseback riding,sports,4,3,-18.121559977531433,-16.777429580688477,0,5gram
Horseback riding is vorpal.,All sports are vorpal.,horseback riding,sport,is,Horseback riding,sports,4,4,-18.121559977531433,-16.777429580688477,0,5gram
Horseback riding is frabjous.,All sports are frabjous.,horseback riding,sport,is,Horseback riding,sports,4,5,-18.121559977531433,-16.777429580688477,0,5gram
Running involves daxing.,All sports involve daxing.,running,sport,involves,Running,sports,1,1,-18.6479731798172,-18.369123458862305,0,5gram
Running involves wiffing.,All sports involve wiffing.,running,sport,involves,Running,sports,1,2,-19.507829785346985,-19.228979110717773,0,5gram
Running involves blicking.,All sports involve blicking.,running,sport,involves,Running,sports,1,3,-19.507829785346985,-19.228979110717773,0,5gram
Running involves gyring.,All sports involve gyring.,running,sport,involves,Running,sports,1,4,-19.507829785346985,-19.228979110717773,0,5gram
Running involves gimbling.,All sports involve gimbling.,running,sport,involves,Running,sports,1,5,-19.507829785346985,-19.228979110717773,0,5gram
Running requires daxing.,All sports require daxing.,running,sport,requires,Running,sports,2,1,-18.169204115867615,-16.873905181884766,0,5gram
Running requires wiffing.,All sports require wiffing.,running,sport,requires,Running,sports,2,2,-19.0290607213974,-17.733760833740234,0,5gram
Running requires blicking.,All sports require blicking.,running,sport,requires,Running,sports,2,3,-19.0290607213974,-17.733760833740234,0,5gram
Running requires gyring.,All sports require gyring.,running,sport,requires,Running,sports,2,4,-19.0290607213974,-17.733760833740234,0,5gram
Running requires gimbling.,All sports require gimbling.,running,sport,requires,Running,sports,2,5,-19.0290607213974,-17.733760833740234,0,5gram
Running includes daxing.,All sports include daxing.,running,sport,includes,Running,sports,3,1,-17.583317637443542,-16.965852737426758,0,5gram
Running includes wiffing.,All sports include wiffing.,running,sport,includes,Running,sports,3,2,-18.443174242973328,-17.82571029663086,0,5gram
Running includes blicking.,All sports include blicking.,running,sport,includes,Running,sports,3,3,-18.443174242973328,-17.82571029663086,0,5gram
Running includes gyring.,All sports include gyring.,running,sport,includes,Running,sports,3,4,-18.443174242973328,-17.82571029663086,0,5gram
Running includes gimbling.,All sports include gimbling.,running,sport,includes,Running,sports,3,5,-18.443174242973328,-17.82571029663086,0,5gram
Running is beamish.,All sports are beamish.,running,sport,is,Running,sports,4,1,-16.941375732421875,-15.597245216369629,0,5gram
Running is slithy.,All sports are slithy.,running,sport,is,Running,sports,4,2,-18.121559977531433,-16.777429580688477,0,5gram
Running is mimsy.,All sports are mimsy.,running,sport,is,Running,sports,4,3,-18.121559977531433,-16.777429580688477,0,5gram
Running is vorpal.,All sports are vorpal.,running,sport,is,Running,sports,4,4,-18.121559977531433,-16.777429580688477,0,5gram
Running is frabjous.,All sports are frabjous.,running,sport,is,Running,sports,4,5,-18.121559977531433,-16.777429580688477,0,5gram
Horse racing involves daxing.,All sports involve daxing.,horse racing,sport,involves,Horse racing,sports,1,1,-18.6479731798172,-18.369123458862305,0,5gram
Horse racing involves wiffing.,All sports involve wiffing.,horse racing,sport,involves,Horse racing,sports,1,2,-19.507829785346985,-19.228979110717773,0,5gram
Horse racing involves blicking.,All sports involve blicking.,horse racing,sport,involves,Horse racing,sports,1,3,-19.507829785346985,-19.228979110717773,0,5gram
Horse racing involves gyring.,All sports involve gyring.,horse racing,sport,involves,Horse racing,sports,1,4,-19.507829785346985,-19.228979110717773,0,5gram
Horse racing involves gimbling.,All sports involve gimbling.,horse racing,sport,involves,Horse racing,sports,1,5,-19.507829785346985,-19.228979110717773,0,5gram
Horse racing requires daxing.,All sports require daxing.,horse racing,sport,requires,Horse racing,sports,2,1,-18.169204115867615,-16.873905181884766,0,5gram
Horse racing requires wiffing.,All sports require wiffing.,horse racing,sport,requires,Horse racing,sports,2,2,-19.0290607213974,-17.733760833740234,0,5gram
Horse racing requires blicking.,All sports require blicking.,horse racing,sport,requires,Horse racing,sports,2,3,-19.0290607213974,-17.733760833740234,0,5gram
Horse racing requires gyring.,All sports require gyring.,horse racing,sport,requires,Horse racing,sports,2,4,-19.0290607213974,-17.733760833740234,0,5gram
Horse racing requires gimbling.,All sports require gimbling.,horse racing,sport,requires,Horse racing,sports,2,5,-19.0290607213974,-17.733760833740234,0,5gram
Horse racing includes daxing.,All sports include daxing.,horse racing,sport,includes,Horse racing,sports,3,1,-17.583317637443542,-16.965852737426758,0,5gram
Horse racing includes wiffing.,All sports include wiffing.,horse racing,sport,includes,Horse racing,sports,3,2,-18.443174242973328,-17.82571029663086,0,5gram
Horse racing includes blicking.,All sports include blicking.,horse racing,sport,includes,Horse racing,sports,3,3,-18.443174242973328,-17.82571029663086,0,5gram
Horse racing includes gyring.,All sports include gyring.,horse racing,sport,includes,Horse racing,sports,3,4,-18.443174242973328,-17.82571029663086,0,5gram
Horse racing includes gimbling.,All sports include gimbling.,horse racing,sport,includes,Horse racing,sports,3,5,-18.443174242973328,-17.82571029663086,0,5gram
Horse racing is beamish.,All sports are beamish.,horse racing,sport,is,Horse racing,sports,4,1,-16.941375732421875,-15.597245216369629,0,5gram
Horse racing is slithy.,All sports are slithy.,horse racing,sport,is,Horse racing,sports,4,2,-18.121559977531433,-16.777429580688477,0,5gram
Horse racing is mimsy.,All sports are mimsy.,horse racing,sport,is,Horse racing,sports,4,3,-18.121559977531433,-16.777429580688477,0,5gram
Horse racing is vorpal.,All sports are vorpal.,horse racing,sport,is,Horse racing,sports,4,4,-18.121559977531433,-16.777429580688477,0,5gram
Horse racing is frabjous.,All sports are frabjous.,horse racing,sport,is,Horse racing,sports,4,5,-18.121559977531433,-16.777429580688477,0,5gram
Hiking involves daxing.,All sports involve daxing.,hiking,sport,involves,Hiking,sports,1,1,-18.6479731798172,-18.369123458862305,0,5gram
Hiking involves wiffing.,All sports involve wiffing.,hiking,sport,involves,Hiking,sports,1,2,-19.507829785346985,-19.228979110717773,0,5gram
Hiking involves blicking.,All sports involve blicking.,hiking,sport,involves,Hiking,sports,1,3,-19.507829785346985,-19.228979110717773,0,5gram
Hiking involves gyring.,All sports involve gyring.,hiking,sport,involves,Hiking,sports,1,4,-19.507829785346985,-19.228979110717773,0,5gram
Hiking involves gimbling.,All sports involve gimbling.,hiking,sport,involves,Hiking,sports,1,5,-19.507829785346985,-19.228979110717773,0,5gram
Hiking requires daxing.,All sports require daxing.,hiking,sport,requires,Hiking,sports,2,1,-18.169204115867615,-16.873905181884766,0,5gram
Hiking requires wiffing.,All sports require wiffing.,hiking,sport,requires,Hiking,sports,2,2,-19.0290607213974,-17.733760833740234,0,5gram
Hiking requires blicking.,All sports require blicking.,hiking,sport,requires,Hiking,sports,2,3,-19.0290607213974,-17.733760833740234,0,5gram
Hiking requires gyring.,All sports require gyring.,hiking,sport,requires,Hiking,sports,2,4,-19.0290607213974,-17.733760833740234,0,5gram
Hiking requires gimbling.,All sports require gimbling.,hiking,sport,requires,Hiking,sports,2,5,-19.0290607213974,-17.733760833740234,0,5gram
Hiking includes daxing.,All sports include daxing.,hiking,sport,includes,Hiking,sports,3,1,-17.583317637443542,-16.965852737426758,0,5gram
Hiking includes wiffing.,All sports include wiffing.,hiking,sport,includes,Hiking,sports,3,2,-18.443174242973328,-17.82571029663086,0,5gram
Hiking includes blicking.,All sports include blicking.,hiking,sport,includes,Hiking,sports,3,3,-18.443174242973328,-17.82571029663086,0,5gram
Hiking includes gyring.,All sports include gyring.,hiking,sport,includes,Hiking,sports,3,4,-18.443174242973328,-17.82571029663086,0,5gram
Hiking includes gimbling.,All sports include gimbling.,hiking,sport,includes,Hiking,sports,3,5,-18.443174242973328,-17.82571029663086,0,5gram
Hiking is beamish.,All sports are beamish.,hiking,sport,is,Hiking,sports,4,1,-16.941375732421875,-15.597245216369629,0,5gram
Hiking is slithy.,All sports are slithy.,hiking,sport,is,Hiking,sports,4,2,-18.121559977531433,-16.777429580688477,0,5gram
Hiking is mimsy.,All sports are mimsy.,hiking,sport,is,Hiking,sports,4,3,-18.121559977531433,-16.777429580688477,0,5gram
Hiking is vorpal.,All sports are vorpal.,hiking,sport,is,Hiking,sports,4,4,-18.121559977531433,-16.777429580688477,0,5gram
Hiking is frabjous.,All sports are frabjous.,hiking,sport,is,Hiking,sports,4,5,-18.121559977531433,-16.777429580688477,0,5gram
Weight lifting involves daxing.,All sports involve daxing.,weight lifting,sport,involves,Weight lifting,sports,1,1,-18.6479731798172,-18.369123458862305,0,5gram
Weight lifting involves wiffing.,All sports involve wiffing.,weight lifting,sport,involves,Weight lifting,sports,1,2,-19.507829785346985,-19.228979110717773,0,5gram
Weight lifting involves blicking.,All sports involve blicking.,weight lifting,sport,involves,Weight lifting,sports,1,3,-19.507829785346985,-19.228979110717773,0,5gram
Weight lifting involves gyring.,All sports involve gyring.,weight lifting,sport,involves,Weight lifting,sports,1,4,-19.507829785346985,-19.228979110717773,0,5gram
Weight lifting involves gimbling.,All sports involve gimbling.,weight lifting,sport,involves,Weight lifting,sports,1,5,-19.507829785346985,-19.228979110717773,0,5gram
Weight lifting requires daxing.,All sports require daxing.,weight lifting,sport,requires,Weight lifting,sports,2,1,-18.169204115867615,-16.873905181884766,0,5gram
Weight lifting requires wiffing.,All sports require wiffing.,weight lifting,sport,requires,Weight lifting,sports,2,2,-19.0290607213974,-17.733760833740234,0,5gram
Weight lifting requires blicking.,All sports require blicking.,weight lifting,sport,requires,Weight lifting,sports,2,3,-19.0290607213974,-17.733760833740234,0,5gram
Weight lifting requires gyring.,All sports require gyring.,weight lifting,sport,requires,Weight lifting,sports,2,4,-19.0290607213974,-17.733760833740234,0,5gram
Weight lifting requires gimbling.,All sports require gimbling.,weight lifting,sport,requires,Weight lifting,sports,2,5,-19.0290607213974,-17.733760833740234,0,5gram
Weight lifting includes daxing.,All sports include daxing.,weight lifting,sport,includes,Weight lifting,sports,3,1,-17.583317637443542,-16.965852737426758,0,5gram
Weight lifting includes wiffing.,All sports include wiffing.,weight lifting,sport,includes,Weight lifting,sports,3,2,-18.443174242973328,-17.82571029663086,0,5gram
Weight lifting includes blicking.,All sports include blicking.,weight lifting,sport,includes,Weight lifting,sports,3,3,-18.443174242973328,-17.82571029663086,0,5gram
Weight lifting includes gyring.,All sports include gyring.,weight lifting,sport,includes,Weight lifting,sports,3,4,-18.443174242973328,-17.82571029663086,0,5gram
Weight lifting includes gimbling.,All sports include gimbling.,weight lifting,sport,includes,Weight lifting,sports,3,5,-18.443174242973328,-17.82571029663086,0,5gram
Weight lifting is beamish.,All sports are beamish.,weight lifting,sport,is,Weight lifting,sports,4,1,-16.941375732421875,-15.597245216369629,0,5gram
Weight lifting is slithy.,All sports are slithy.,weight lifting,sport,is,Weight lifting,sports,4,2,-18.121559977531433,-16.777429580688477,0,5gram
Weight lifting is mimsy.,All sports are mimsy.,weight lifting,sport,is,Weight lifting,sports,4,3,-18.121559977531433,-16.777429580688477,0,5gram
Weight lifting is vorpal.,All sports are vorpal.,weight lifting,sport,is,Weight lifting,sports,4,4,-18.121559977531433,-16.777429580688477,0,5gram
Weight lifting is frabjous.,All sports are frabjous.,weight lifting,sport,is,Weight lifting,sports,4,5,-18.121559977531433,-16.777429580688477,0,5gram
Croquet involves daxing.,All sports involve daxing.,croquet,sport,involves,Croquet,sports,1,1,-18.6479731798172,-18.369123458862305,0,5gram
Croquet involves wiffing.,All sports involve wiffing.,croquet,sport,involves,Croquet,sports,1,2,-19.507829785346985,-19.228979110717773,0,5gram
Croquet involves blicking.,All sports involve blicking.,croquet,sport,involves,Croquet,sports,1,3,-19.507829785346985,-19.228979110717773,0,5gram
Croquet involves gyring.,All sports involve gyring.,croquet,sport,involves,Croquet,sports,1,4,-19.507829785346985,-19.228979110717773,0,5gram
Croquet involves gimbling.,All sports involve gimbling.,croquet,sport,involves,Croquet,sports,1,5,-19.507829785346985,-19.228979110717773,0,5gram
Croquet requires daxing.,All sports require daxing.,croquet,sport,requires,Croquet,sports,2,1,-18.169204115867615,-16.873905181884766,0,5gram
Croquet requires wiffing.,All sports require wiffing.,croquet,sport,requires,Croquet,sports,2,2,-19.0290607213974,-17.733760833740234,0,5gram
Croquet requires blicking.,All sports require blicking.,croquet,sport,requires,Croquet,sports,2,3,-19.0290607213974,-17.733760833740234,0,5gram
Croquet requires gyring.,All sports require gyring.,croquet,sport,requires,Croquet,sports,2,4,-19.0290607213974,-17.733760833740234,0,5gram
Croquet requires gimbling.,All sports require gimbling.,croquet,sport,requires,Croquet,sports,2,5,-19.0290607213974,-17.733760833740234,0,5gram
Croquet includes daxing.,All sports include daxing.,croquet,sport,includes,Croquet,sports,3,1,-17.583317637443542,-16.965852737426758,0,5gram
Croquet includes wiffing.,All sports include wiffing.,croquet,sport,includes,Croquet,sports,3,2,-18.443174242973328,-17.82571029663086,0,5gram
Croquet includes blicking.,All sports include blicking.,croquet,sport,includes,Croquet,sports,3,3,-18.443174242973328,-17.82571029663086,0,5gram
Croquet includes gyring.,All sports include gyring.,croquet,sport,includes,Croquet,sports,3,4,-18.443174242973328,-17.82571029663086,0,5gram
Croquet includes gimbling.,All sports include gimbling.,croquet,sport,includes,Croquet,sports,3,5,-18.443174242973328,-17.82571029663086,0,5gram
Croquet is beamish.,All sports are beamish.,croquet,sport,is,Croquet,sports,4,1,-16.941375732421875,-15.597245216369629,0,5gram
Croquet is slithy.,All sports are slithy.,croquet,sport,is,Croquet,sports,4,2,-18.121559977531433,-16.777429580688477,0,5gram
Croquet is mimsy.,All sports are mimsy.,croquet,sport,is,Croquet,sports,4,3,-18.121559977531433,-16.777429580688477,0,5gram
Croquet is vorpal.,All sports are vorpal.,croquet,sport,is,Croquet,sports,4,4,-18.121559977531433,-16.777429580688477,0,5gram
Croquet is frabjous.,All sports are frabjous.,croquet,sport,is,Croquet,sports,4,5,-18.121559977531433,-16.777429580688477,0,5gram
Horseshoes involves daxing.,All sports involve daxing.,horseshoes,sport,involves,Horseshoes,sports,1,1,-18.6479731798172,-18.369123458862305,0,5gram
Horseshoes involves wiffing.,All sports involve wiffing.,horseshoes,sport,involves,Horseshoes,sports,1,2,-19.507829785346985,-19.228979110717773,0,5gram
Horseshoes involves blicking.,All sports involve blicking.,horseshoes,sport,involves,Horseshoes,sports,1,3,-19.507829785346985,-19.228979110717773,0,5gram
Horseshoes involves gyring.,All sports involve gyring.,horseshoes,sport,involves,Horseshoes,sports,1,4,-19.507829785346985,-19.228979110717773,0,5gram
Horseshoes involves gimbling.,All sports involve gimbling.,horseshoes,sport,involves,Horseshoes,sports,1,5,-19.507829785346985,-19.228979110717773,0,5gram
Horseshoes requires daxing.,All sports require daxing.,horseshoes,sport,requires,Horseshoes,sports,2,1,-18.169204115867615,-16.873905181884766,0,5gram
Horseshoes requires wiffing.,All sports require wiffing.,horseshoes,sport,requires,Horseshoes,sports,2,2,-19.0290607213974,-17.733760833740234,0,5gram
Horseshoes requires blicking.,All sports require blicking.,horseshoes,sport,requires,Horseshoes,sports,2,3,-19.0290607213974,-17.733760833740234,0,5gram
Horseshoes requires gyring.,All sports require gyring.,horseshoes,sport,requires,Horseshoes,sports,2,4,-19.0290607213974,-17.733760833740234,0,5gram
Horseshoes requires gimbling.,All sports require gimbling.,horseshoes,sport,requires,Horseshoes,sports,2,5,-19.0290607213974,-17.733760833740234,0,5gram
Horseshoes includes daxing.,All sports include daxing.,horseshoes,sport,includes,Horseshoes,sports,3,1,-17.583317637443542,-16.965852737426758,0,5gram
Horseshoes includes wiffing.,All sports include wiffing.,horseshoes,sport,includes,Horseshoes,sports,3,2,-18.443174242973328,-17.82571029663086,0,5gram
Horseshoes includes blicking.,All sports include blicking.,horseshoes,sport,includes,Horseshoes,sports,3,3,-18.443174242973328,-17.82571029663086,0,5gram
Horseshoes includes gyring.,All sports include gyring.,horseshoes,sport,includes,Horseshoes,sports,3,4,-18.443174242973328,-17.82571029663086,0,5gram
Horseshoes includes gimbling.,All sports include gimbling.,horseshoes,sport,includes,Horseshoes,sports,3,5,-18.443174242973328,-17.82571029663086,0,5gram
Horseshoes is beamish.,All sports are beamish.,horseshoes,sport,is,Horseshoes,sports,4,1,-16.941375732421875,-15.597245216369629,0,5gram
Horseshoes is slithy.,All sports are slithy.,horseshoes,sport,is,Horseshoes,sports,4,2,-18.121559977531433,-16.777429580688477,0,5gram
Horseshoes is mimsy.,All sports are mimsy.,horseshoes,sport,is,Horseshoes,sports,4,3,-18.121559977531433,-16.777429580688477,0,5gram
Horseshoes is vorpal.,All sports are vorpal.,horseshoes,sport,is,Horseshoes,sports,4,4,-18.121559977531433,-16.777429580688477,0,5gram
Horseshoes is frabjous.,All sports are frabjous.,horseshoes,sport,is,Horseshoes,sports,4,5,-18.121559977531433,-16.777429580688477,0,5gram
Boating involves daxing.,All sports involve daxing.,boating,sport,involves,Boating,sports,1,1,-18.6479731798172,-18.369123458862305,0,5gram
Boating involves wiffing.,All sports involve wiffing.,boating,sport,involves,Boating,sports,1,2,-19.507829785346985,-19.228979110717773,0,5gram
Boating involves blicking.,All sports involve blicking.,boating,sport,involves,Boating,sports,1,3,-19.507829785346985,-19.228979110717773,0,5gram
Boating involves gyring.,All sports involve gyring.,boating,sport,involves,Boating,sports,1,4,-19.507829785346985,-19.228979110717773,0,5gram
Boating involves gimbling.,All sports involve gimbling.,boating,sport,involves,Boating,sports,1,5,-19.507829785346985,-19.228979110717773,0,5gram
Boating requires daxing.,All sports require daxing.,boating,sport,requires,Boating,sports,2,1,-18.169204115867615,-16.873905181884766,0,5gram
Boating requires wiffing.,All sports require wiffing.,boating,sport,requires,Boating,sports,2,2,-19.0290607213974,-17.733760833740234,0,5gram
Boating requires blicking.,All sports require blicking.,boating,sport,requires,Boating,sports,2,3,-19.0290607213974,-17.733760833740234,0,5gram
Boating requires gyring.,All sports require gyring.,boating,sport,requires,Boating,sports,2,4,-19.0290607213974,-17.733760833740234,0,5gram
Boating requires gimbling.,All sports require gimbling.,boating,sport,requires,Boating,sports,2,5,-19.0290607213974,-17.733760833740234,0,5gram
Boating includes daxing.,All sports include daxing.,boating,sport,includes,Boating,sports,3,1,-17.583317637443542,-16.965852737426758,0,5gram
Boating includes wiffing.,All sports include wiffing.,boating,sport,includes,Boating,sports,3,2,-18.443174242973328,-17.82571029663086,0,5gram
Boating includes blicking.,All sports include blicking.,boating,sport,includes,Boating,sports,3,3,-18.443174242973328,-17.82571029663086,0,5gram
Boating includes gyring.,All sports include gyring.,boating,sport,includes,Boating,sports,3,4,-18.443174242973328,-17.82571029663086,0,5gram
Boating includes gimbling.,All sports include gimbling.,boating,sport,includes,Boating,sports,3,5,-18.443174242973328,-17.82571029663086,0,5gram
Boating is beamish.,All sports are beamish.,boating,sport,is,Boating,sports,4,1,-16.941375732421875,-15.597245216369629,0,5gram
Boating is slithy.,All sports are slithy.,boating,sport,is,Boating,sports,4,2,-18.121559977531433,-16.777429580688477,0,5gram
Boating is mimsy.,All sports are mimsy.,boating,sport,is,Boating,sports,4,3,-18.121559977531433,-16.777429580688477,0,5gram
Boating is vorpal.,All sports are vorpal.,boating,sport,is,Boating,sports,4,4,-18.121559977531433,-16.777429580688477,0,5gram
Boating is frabjous.,All sports are frabjous.,boating,sport,is,Boating,sports,4,5,-18.121559977531433,-16.777429580688477,0,5gram
Pool involves daxing.,All sports involve daxing.,pool,sport,involves,Pool,sports,1,1,-18.6479731798172,-18.369123458862305,0,5gram
Pool involves wiffing.,All sports involve wiffing.,pool,sport,involves,Pool,sports,1,2,-19.507829785346985,-19.228979110717773,0,5gram
Pool involves blicking.,All sports involve blicking.,pool,sport,involves,Pool,sports,1,3,-19.507829785346985,-19.228979110717773,0,5gram
Pool involves gyring.,All sports involve gyring.,pool,sport,involves,Pool,sports,1,4,-19.507829785346985,-19.228979110717773,0,5gram
Pool involves gimbling.,All sports involve gimbling.,pool,sport,involves,Pool,sports,1,5,-19.507829785346985,-19.228979110717773,0,5gram
Pool requires daxing.,All sports require daxing.,pool,sport,requires,Pool,sports,2,1,-18.169204115867615,-16.873905181884766,0,5gram
Pool requires wiffing.,All sports require wiffing.,pool,sport,requires,Pool,sports,2,2,-19.0290607213974,-17.733760833740234,0,5gram
Pool requires blicking.,All sports require blicking.,pool,sport,requires,Pool,sports,2,3,-19.0290607213974,-17.733760833740234,0,5gram
Pool requires gyring.,All sports require gyring.,pool,sport,requires,Pool,sports,2,4,-19.0290607213974,-17.733760833740234,0,5gram
Pool requires gimbling.,All sports require gimbling.,pool,sport,requires,Pool,sports,2,5,-19.0290607213974,-17.733760833740234,0,5gram
Pool includes daxing.,All sports include daxing.,pool,sport,includes,Pool,sports,3,1,-17.583317637443542,-16.965852737426758,0,5gram
Pool includes wiffing.,All sports include wiffing.,pool,sport,includes,Pool,sports,3,2,-18.443174242973328,-17.82571029663086,0,5gram
Pool includes blicking.,All sports include blicking.,pool,sport,includes,Pool,sports,3,3,-18.443174242973328,-17.82571029663086,0,5gram
Pool includes gyring.,All sports include gyring.,pool,sport,includes,Pool,sports,3,4,-18.443174242973328,-17.82571029663086,0,5gram
Pool includes gimbling.,All sports include gimbling.,pool,sport,includes,Pool,sports,3,5,-18.443174242973328,-17.82571029663086,0,5gram
Pool is beamish.,All sports are beamish.,pool,sport,is,Pool,sports,4,1,-16.941375732421875,-15.597245216369629,0,5gram
Pool is slithy.,All sports are slithy.,pool,sport,is,Pool,sports,4,2,-18.121559977531433,-16.777429580688477,0,5gram
Pool is mimsy.,All sports are mimsy.,pool,sport,is,Pool,sports,4,3,-18.121559977531433,-16.777429580688477,0,5gram
Pool is vorpal.,All sports are vorpal.,pool,sport,is,Pool,sports,4,4,-18.121559977531433,-16.777429580688477,0,5gram
Pool is frabjous.,All sports are frabjous.,pool,sport,is,Pool,sports,4,5,-18.121559977531433,-16.777429580688477,0,5gram
Billiards involves daxing.,All sports involve daxing.,billiards,sport,involves,Billiards,sports,1,1,-18.6479731798172,-18.369123458862305,0,5gram
Billiards involves wiffing.,All sports involve wiffing.,billiards,sport,involves,Billiards,sports,1,2,-19.507829785346985,-19.228979110717773,0,5gram
Billiards involves blicking.,All sports involve blicking.,billiards,sport,involves,Billiards,sports,1,3,-19.507829785346985,-19.228979110717773,0,5gram
Billiards involves gyring.,All sports involve gyring.,billiards,sport,involves,Billiards,sports,1,4,-19.507829785346985,-19.228979110717773,0,5gram
Billiards involves gimbling.,All sports involve gimbling.,billiards,sport,involves,Billiards,sports,1,5,-19.507829785346985,-19.228979110717773,0,5gram
Billiards requires daxing.,All sports require daxing.,billiards,sport,requires,Billiards,sports,2,1,-18.169204115867615,-16.873905181884766,0,5gram
Billiards requires wiffing.,All sports require wiffing.,billiards,sport,requires,Billiards,sports,2,2,-19.0290607213974,-17.733760833740234,0,5gram
Billiards requires blicking.,All sports require blicking.,billiards,sport,requires,Billiards,sports,2,3,-19.0290607213974,-17.733760833740234,0,5gram
Billiards requires gyring.,All sports require gyring.,billiards,sport,requires,Billiards,sports,2,4,-19.0290607213974,-17.733760833740234,0,5gram
Billiards requires gimbling.,All sports require gimbling.,billiards,sport,requires,Billiards,sports,2,5,-19.0290607213974,-17.733760833740234,0,5gram
Billiards includes daxing.,All sports include daxing.,billiards,sport,includes,Billiards,sports,3,1,-17.583317637443542,-16.965852737426758,0,5gram
Billiards includes wiffing.,All sports include wiffing.,billiards,sport,includes,Billiards,sports,3,2,-18.443174242973328,-17.82571029663086,0,5gram
Billiards includes blicking.,All sports include blicking.,billiards,sport,includes,Billiards,sports,3,3,-18.443174242973328,-17.82571029663086,0,5gram
Billiards includes gyring.,All sports include gyring.,billiards,sport,includes,Billiards,sports,3,4,-18.443174242973328,-17.82571029663086,0,5gram
Billiards includes gimbling.,All sports include gimbling.,billiards,sport,includes,Billiards,sports,3,5,-18.443174242973328,-17.82571029663086,0,5gram
Billiards is beamish.,All sports are beamish.,billiards,sport,is,Billiards,sports,4,1,-16.941375732421875,-15.597245216369629,0,5gram
Billiards is slithy.,All sports are slithy.,billiards,sport,is,Billiards,sports,4,2,-18.121559977531433,-16.777429580688477,0,5gram
Billiards is mimsy.,All sports are mimsy.,billiards,sport,is,Billiards,sports,4,3,-18.121559977531433,-16.777429580688477,0,5gram
Billiards is vorpal.,All sports are vorpal.,billiards,sport,is,Billiards,sports,4,4,-18.121559977531433,-16.777429580688477,0,5gram
Billiards is frabjous.,All sports are frabjous.,billiards,sport,is,Billiards,sports,4,5,-18.121559977531433,-16.777429580688477,0,5gram
Hunting involves daxing.,All sports involve daxing.,hunting,sport,involves,Hunting,sports,1,1,-18.6479731798172,-18.369123458862305,0,5gram
Hunting involves wiffing.,All sports involve wiffing.,hunting,sport,involves,Hunting,sports,1,2,-19.507829785346985,-19.228979110717773,0,5gram
Hunting involves blicking.,All sports involve blicking.,hunting,sport,involves,Hunting,sports,1,3,-19.507829785346985,-19.228979110717773,0,5gram
Hunting involves gyring.,All sports involve gyring.,hunting,sport,involves,Hunting,sports,1,4,-19.507829785346985,-19.228979110717773,0,5gram
Hunting involves gimbling.,All sports involve gimbling.,hunting,sport,involves,Hunting,sports,1,5,-19.507829785346985,-19.228979110717773,0,5gram
Hunting requires daxing.,All sports require daxing.,hunting,sport,requires,Hunting,sports,2,1,-18.169204115867615,-16.873905181884766,0,5gram
Hunting requires wiffing.,All sports require wiffing.,hunting,sport,requires,Hunting,sports,2,2,-19.0290607213974,-17.733760833740234,0,5gram
Hunting requires blicking.,All sports require blicking.,hunting,sport,requires,Hunting,sports,2,3,-19.0290607213974,-17.733760833740234,0,5gram
Hunting requires gyring.,All sports require gyring.,hunting,sport,requires,Hunting,sports,2,4,-19.0290607213974,-17.733760833740234,0,5gram
Hunting requires gimbling.,All sports require gimbling.,hunting,sport,requires,Hunting,sports,2,5,-19.0290607213974,-17.733760833740234,0,5gram
Hunting includes daxing.,All sports include daxing.,hunting,sport,includes,Hunting,sports,3,1,-17.583317637443542,-16.965852737426758,0,5gram
Hunting includes wiffing.,All sports include wiffing.,hunting,sport,includes,Hunting,sports,3,2,-18.443174242973328,-17.82571029663086,0,5gram
Hunting includes blicking.,All sports include blicking.,hunting,sport,includes,Hunting,sports,3,3,-18.443174242973328,-17.82571029663086,0,5gram
Hunting includes gyring.,All sports include gyring.,hunting,sport,includes,Hunting,sports,3,4,-18.443174242973328,-17.82571029663086,0,5gram
Hunting includes gimbling.,All sports include gimbling.,hunting,sport,includes,Hunting,sports,3,5,-18.443174242973328,-17.82571029663086,0,5gram
Hunting is beamish.,All sports are beamish.,hunting,sport,is,Hunting,sports,4,1,-16.941375732421875,-15.597245216369629,0,5gram
Hunting is slithy.,All sports are slithy.,hunting,sport,is,Hunting,sports,4,2,-18.121559977531433,-16.777429580688477,0,5gram
Hunting is mimsy.,All sports are mimsy.,hunting,sport,is,Hunting,sports,4,3,-18.121559977531433,-16.777429580688477,0,5gram
Hunting is vorpal.,All sports are vorpal.,hunting,sport,is,Hunting,sports,4,4,-18.121559977531433,-16.777429580688477,0,5gram
